Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,7,4,3,57.1%,9-8,52.9%,90-77,53.9%,0-0,-,0,,,,,,,,,,,
Clay,18,8,10,44.4%,19-20,48.7%,175-195,47.3%,4-1,80.0%,0,,,,,,,,,,,
Finals,1,0,1,0.0%,0-1,0.0%,4-6,40.0%,0-0,-,0,,,,,,,,,,,
Semi-finals,1,1,0,100.0%,2-0,100.0%,13-10,56.5%,1-0,100.0%,0,,,,,,,,,,,
Quarter-finals,3,1,2,33.3%,2-4,33.3%,26-34,43.3%,1-0,100.0%,0,,,,,,,,,,,
vs Righties,7,1,6,14.3%,4-12,25.0%,59-90,39.6%,0-0,-,0,,,,,,,,,,,
vs Lefties,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-0,-,0,,,,,,,,,,,
