Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2004,64,616,64,1783,52,1738,76,1686,,,169,280,,
2003,114,354,19,1901,17,1857,65,1707,12,1817,142,350,43,1643
2002,34,960,36,1874,15,1874,62,1728,6,1853,40,1295,34,1696
2001,27,1130,29,1881,34,1815,63,1750,7,1872,86,725,,
2000,48,805,57,1808,35,1796,76,1701,33,1732,140,435,,
1999,37,995,29,1883,26,1839,70,1737,,,285,182,,
1998,37,989,64,1796,49,1756,87,1707,41,1692,551,59,,
1997,93,521,106,1721,99,1666,140,1603,77,1614,216,282,,
1996,413,67,,,,,,,,,459,92,,
1995,189,,223,1545,183,1555,201,1530,,,380,109,,
1994,646,,,,,,,,,,935,13,,
1993,670,,,,,,,,,,665,31,,
1992,875,,,,,,,,,,781,13,,
