Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2010,1039,6,,,,,,,,,,,,
2009,155,365,112,1670,98,1643,139,1541,122,1515,,,,
2008,87,391,73,1750,60,1709,102,1596,92,1566,,,,
2007,76,407,60,1762,52,1722,85,1616,101,1529,,,,
2006,75,349,76,1724,67,1686,136,1536,140,1464,,,,
2005,116,313,137,1616,124,1584,188,1430,161,1416,,,,
2004,117,314,157,1566,139,1558,201,1401,174,1410,,,,
2003,169,183,180,1483,166,1451,192,1369,172,1407,,,,
2002,136,242,198,1470,197,1419,199,1390,183,1356,,,,
2001,175,171,211,1334,209,1290,204,1229,187,1300,,,,
2000,277,69,,,,,,,,,,,,
1999,422,29,,,,,,,,,,,,
1998,425,27,,,,,,,,,,,,
1997,729,7,,,,,,,,,,,,
1996,782,5,,,,,,,,,,,,
