Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2009,7,3,4,42.9%,7-8,46.7%,68-69,49.6%,0-1,0.0%,0,,,,,,,,,,,,QF (Zagreb 50K)
2008,6,5,1,83.3%,11-2,84.6%,71-43,62.3%,1-0,100.0%,0,,,,,,,,,,,,W (Las Vegas NV 50K)
2007,4,2,2,50.0%,4-3,57.1%,41-36,53.2%,1-2,33.3%,0,,,,,,,,,,,,QF (Cagnes-Sur-Mer 100K)
2006,32,23,9,71.9%,48-19,71.6%,362-262,58.0%,3-3,50.0%,0,,,,,,,,,,,,W (Lexington KY 50K)
2005,23,16,7,69.6%,36-18,66.7%,286-206,58.1%,3-2,60.0%,0,,,,,,,,,,,,W (College Park MD 50K)
2004,26,15,11,57.7%,36-23,61.0%,300-231,56.5%,2-1,66.7%,0,,,,,,,,,,,,W (Lexington KY 50K)
2003,40,22,18,55.0%,50-40,55.6%,426-379,52.9%,0-3,0.0%,0,,,,,,,,,,,,W (St Raphael 25K)
2002,42,27,15,64.3%,55-36,60.4%,465-358,56.5%,1-4,20.0%,0,,,,,,,,,,,,W (2x)
2001,32,18,14,56.3%,37-36,50.7%,320-322,49.8%,1-3,25.0%,0,,,,,,,,,,,,F (La Canada CA 25K)
2000,41,24,17,58.5%,54-37,59.3%,453-386,54.0%,6-3,66.7%,0,,,,,,,,,,,,W (Montechoro 10K)
1999,24,8,16,33.3%,15-32,31.9%,167-235,41.5%,3-5,37.5%,0,,,,,,,,,,,,SF (Hatfield 10K)
1998,37,19,18,51.4%,37-44,45.7%,348-374,48.2%,4-2,66.7%,0,,,,,,,,,,,,SF (2x)
1997,11,5,6,45.5%,9-14,39.1%,87-116,42.9%,1-0,100.0%,0,,,,,,,,,,,,QF (Calvi 10K)
1996,7,3,4,42.9%,6-10,37.5%,60-74,44.8%,0-0,-,0,,,,,,,,,,,,R16 (3x)
Career,332,190,142,57.2%,405-322,55.7%,3454-3091,52.8%,26-29,47.3%,0,,,,,,,,,,,,
