Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2020 US Open R64,L vs Khachanov,15% (2/13),50% (1/2),0/4,69% (9/13),33% (3/9),1/1,0/0,1/3,0/0,1/1
2020 US Open R128,W vs Querrey,27% (4/15),75% (3/4),0/0,13% (2/15),100% (2/2),2/2,1/1,2/2,0/0,0/0
2018 Koblenz CH R32,L vs Ivashka,13% (2/15),50% (1/2),0/1,36% (5/14),60% (3/5),1/1,1/1,0/1,0/0,0/0
2017 Brest CH R32,L vs Tsitsipas,0% (0/8),- (0/0),0/3,50% (4/8),0% (0/4),0/0,0/0,1/2,0/0,1/1
2017 Moscow R32,L vs Medvedev,20% (3/15),100% (3/3),0/2,20% (3/15),33% (1/3),2/2,0/0,1/1,0/0,0/0
2017 Orleans CH QF,L vs Gombos,40% (6/15),50% (3/6),0/3,27% (4/15),0% (0/4),3/3,1/1,3/4,0/0,3/3
2017 Orleans CH R16,W vs Petrovic,47% (7/15),71% (5/7),1/1,14% (2/14),50% (1/2),3/3,1/1,0/0,0/0,0/0
2017 Orleans CH R32,W vs Vatutin,100% (8/8),88% (7/8),3/3,63% (5/8),40% (2/5),5/6,1/2,0/0,0/1,0/0
2017 St. Petersburg R32,L vs Troicki,17% (2/12),50% (1/2),0/1,25% (3/12),67% (2/3),1/1,0/0,2/2,0/0,2/2
2017 US Open R128,L vs Lopez,24% (5/21),40% (2/5),0/5,38% (8/21),38% (3/8),1/2,0/1,2/2,0/0,2/2
2017 Winston-Salem R32,L vs Isner,29% (4/14),75% (3/4),0/2,20% (3/15),0% (0/3),3/3,1/1,2/3,0/0,0/1
2017 Winston-Salem R64,W vs Kicker,60% (6/10),67% (4/6),0/1,20% (2/10),50% (1/2),4/4,2/2,1/1,1/1,0/0
2017 Kitzbuhel R32,L vs Zekic,33% (4/12),25% (1/4),1/1,25% (3/12),67% (2/3),1/1,0/0,2/2,0/0,2/2
2017 Hamburg R16,L vs Mayer,40% (6/15),50% (3/6),1/4,43% (6/14),33% (2/6),2/2,0/0,1/1,0/0,0/0
2017 Hamburg R32,W vs Cuevas,31% (5/16),60% (3/5),0/2,40% (6/15),67% (4/6),1/1,0/1,0/0,0/0,0/0
2017 Bastad SF,L vs Dolgopolov,44% (4/9),0% (0/4),0/3,50% (4/8),25% (1/4),0/0,0/0,1/1,0/0,0/0
2017 Bastad QF,W vs Schwartzman,44% (4/9),100% (4/4),1/1,22% (2/9),50% (1/2),2/3,1/1,0/0,1/1,0/0
2017 Bastad R32,W vs Struff,40% (4/10),100% (4/4),0/1,11% (1/9),0% (0/1),2/2,0/0,0/0,0/0,0/0
2017 Wimbledon R128,L vs Khachanov,36% (8/22),75% (6/8),0/4,23% (5/22),0% (0/5),5/6,2/2,2/3,0/0,1/2
2017 Eastbourne Q2,L vs Skugor,14% (2/14),100% (2/2),0/2,21% (3/14),33% (1/3),1/1,0/0,2/2,0/0,1/1
2020 (2 matches),,21.4%,66.7%,0.0%,39.3%,45.5%,100.0%,100.0%,60.0%,-,100.0%
2018 (1 matches),,13.3%,50.0%,0.0%,35.7%,60.0%,100.0%,100.0%,0.0%,-,-
2017 (39 matches),,31.9%,65.8%,16.5%,33.7%,31.1%,77.3%,71.0%,79.6%,66.7%,77.8%
2016 (48 matches),,35.7%,70.4%,28.7%,29.2%,34.3%,83.8%,88.1%,76.5%,79.2%,72.7%
2015 (33 matches),,38.7%,74.7%,24.6%,30.6%,35.1%,78.9%,79.5%,76.5%,84.2%,85.7%
Career (237 matches),,37.3%,69.5%,25.4%,32.9%,33.0%,79.5%,81.9%,78.6%,84.3%,78.3%
