Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2020,372,129,,,,,,,,,361,215,,
2019,335,154,271,1400,266,1364,235,1379,176,1416,343,209,,
2018,142,425,189,1520,178,1491,176,1463,128,1496,492,82,,
2018,142,425,189,1520,178,1491,176,1463,128,1496,492,82,,
2017,186,302,194,1468,185,1448,171,1412,,,260,267,,
2016,149,391,200,1444,202,1406,,,,,206,326,,
2015,244,185,,,,,,,,,422,107,,
2014,269,160,241,1408,231,1384,,,,,298,169,,
2013,344,131,,,,,,,,,648,55,,
2012,343,125,,,,,,,,,530,74,,
2011,489,71,,,,,,,,,583,64,,
2010,474,70,,,,,,,,,864,18,,
2009,415,84,,,,,,,,,,,,
