Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,1,0,1,0.0%,0-2,0.0%,12-14,46.2%,0-2,0.0%,0,,,,,,,,,,,,R32 (W25 Monastir)
2021,29,15,14,51.7%,33-34,49.3%,299-300,49.9%,3-3,50.0%,0,,,,,,,,,,,,SF (2x)
2020,9,6,3,66.7%,14-7,66.7%,108-83,56.5%,1-1,50.0%,0,,,,,,,,,,,,W (W15 Monastir)
2019,32,20,12,62.5%,45-24,65.2%,347-256,57.5%,3-4,42.9%,1,20.0%,0.0%,0.0%,22.6%,51.6%,50.0%,13.3%,32.3%,30.3%,31.3%,0.45,W (W15 Antalya)
2018,42,28,14,66.7%,59-38,60.8%,474-405,53.9%,5-5,50.0%,7,47.4%,40.3%,1.1%,8.5%,58.8%,57.1%,37.8%,49.1%,47.1%,48.1%,0.93,W (3x)
2017,34,20,14,58.8%,43-38,53.1%,381-369,50.8%,6-3,66.7%,8,62.5%,36.2%,1.3%,9.2%,56.3%,64.3%,44.8%,55.8%,44.1%,49.9%,1.00,W (Fergana $25K)
2016,66,46,20,69.7%,97-52,65.1%,751-583,56.3%,5-6,45.5%,0,,,,,,,,,,,,W (3x)
2015,48,31,17,64.6%,67-44,60.4%,532-428,55.4%,1-4,20.0%,0,,,,,,,,,,,,W (Karshi $25K)
2014,62,39,23,62.9%,81-54,60.0%,646-548,54.1%,7-6,53.8%,0,,,,,,,,,,,,F (2x)
2013,37,27,10,73.0%,54-24,69.2%,416-277,60.0%,2-6,25.0%,0,,,,,,,,,,,,W (3x)
2012,37,22,15,59.5%,50-35,58.8%,414-368,52.9%,8-4,66.7%,0,,,,,,,,,,,,W (Andijan 10K)
2011,16,7,9,43.8%,17-17,50.0%,154-149,50.8%,1-1,50.0%,0,,,,,,,,,,,,QF (Karshi 10K)
2010,20,12,8,60.0%,27-17,61.4%,215-171,55.7%,2-1,66.7%,0,,,,,,,,,,,,W (Kuching 10K)
2009,22,14,8,63.6%,30-19,61.2%,240-219,52.3%,4-2,66.7%,0,,,,,,,,,,,,F (Shenzhen 10K)
2008,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R32 (Karshi 25K)
Career,456,287,169,62.9%,617-407,60.3%,4992-4182,54.4%,48-48,50.0%,16,54.8%,36.9%,1.2%,9.3%,57.2%,60.8%,40.9%,52.3%,45.0%,48.6%,0.94,
