Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-03-18),1223,7,,,,,,,,,930,35,,
2023,842,31,,,,,,,,,,,,
2022,839,23,,,,,,,,,,,,
2021,1127,14,,,,,,,,,,,,
2018,582,28,,,,,,,,,672,29,,
2017,331,132,234,1283,232,1257,212,1231,,,196,385,,
2016,204,269,,,,,,,,,176,379,,
2015,209,247,,,,,,,,,250,250,,
2014,258,173,,,,,,,,,294,173,,
2013,543,60,,,,,,,,,302,207,,
2012,648,35,,,,,,,,,659,44,,
2011,605,43,,,,,,,,,388,151,,
