Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Newport R32,W vs Albot,69.1%,61.5%,38.7%,64.0%,12.5%,38.5%,0.0%,13.3%,33.3%,0.5%,0.0%,52,155
2023 Newport R32,L vs Michelsen,77.4%,62.5%,42.5%,63.5%,13.8%,12.5%,0.0%,20.0%,75.0%,0.6%,0.0%,165,222
2023 Queens Club R32,L vs Rune,74.3%,70.9%,36.9%,69.4%,20.0%,50.0%,100.0%,13.3%,0.0%,0.0%,-,114,188
2023 Madrid R128,L vs Wawrinka,82.0%,79.5%,40.7%,75.9%,13.3%,0.0%,0.0%,0.0%,0.0%,0.0%,-,144,200
2023 Monte Carlo R64,L vs Berrettini,69.5%,63.4%,37.3%,61.4%,6.7%,0.0%,0.0%,22.2%,0.0%,3.2%,50.0%,84,182
2023 Rotterdam R32,W vs Van Rijthoven,90.0%,77.8%,40.6%,77.6%,23.1%,100.0%,0.0%,33.3%,100.0%,0.0%,-,110,260
2023 Montpellier F,L vs Sinner,84.6%,68.2%,41.5%,60.8%,6.3%,100.0%,0.0%,18.8%,40.0%,0.0%,-,120,177
2023 Montpellier SF,W vs Rune,88.1%,85.1%,39.2%,82.5%,13.6%,0.0%,0.0%,7.1%,25.0%,0.6%,0.0%,75,150
2023 Australian Open R64,L vs Rune,71.6%,69.8%,35.8%,66.7%,16.7%,0.0%,0.0%,15.4%,25.0%,0.0%,-,157,205
2022 Paris R32,L vs Djokovic,73.0%,60.9%,36.4%,60.4%,17.6%,33.3%,0.0%,0.0%,0.0%,0.0%,-,40,76
2022 Paris R64,W vs Schwartzman,91.7%,66.7%,36.2%,71.1%,8.1%,40.0%,0.0%,0.0%,0.0%,0.6%,0.0%,1,34
2022 Astana R32,L vs Khachanov,86.8%,76.1%,39.7%,77.1%,0.0%,0.0%,0.0%,6.3%,0.0%,5.2%,60.0%,36,45
2022 Tel Aviv QF,L vs Lestienne,86.9%,75.5%,33.0%,71.9%,3.7%,33.3%,0.0%,15.4%,0.0%,0.0%,-,64,143
2022 Tel Aviv R16,W vs Korda,81.0%,85.3%,30.0%,83.3%,10.0%,0.0%,0.0%,33.3%,100.0%,0.0%,-,-15,78
2022 Winston Salem R32,W vs Duckworth,80.6%,88.0%,23.8%,88.0%,14.0%,75.0%,0.0%,17.6%,0.0%,0.7%,0.0%,-14,68
2022 Winston Salem QF,L vs Mannarino,71.7%,69.7%,30.2%,63.2%,2.7%,20.0%,0.0%,12.5%,0.0%,4.0%,20.0%,40,114
2022 Canada R64,W vs Karatsev,76.6%,69.4%,32.5%,68.4%,11.8%,0.0%,0.0%,15.4%,100.0%,0.9%,100.0%,-61,23
2022 Washington R16,L vs Rublev,83.6%,73.9%,37.7%,70.9%,7.1%,50.0%,0.0%,0.0%,0.0%,1.1%,0.0%,132,157
2022 Newport F,W vs Bublik,83.8%,68.7%,42.3%,65.0%,12.5%,0.0%,0.0%,0.0%,0.0%,1.7%,50.0%,20,100
2022 Newport SF,W vs Isner,80.9%,78.9%,27.2%,75.0%,33.3%,33.3%,0.0%,7.7%,20.0%,0.0%,-,39,164
Career (39 matches),,83.1%,70.2%,40.0%,68.1%,10.6%,20.3%,12.5%,13.4%,29.0%,0.8%,28.2%,69,127
