Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),1474,4,,,,,,,,,,,,
2025,1315,6,,,,,,,,,,,,
2024,244,235,217,1542,185,1518,260,1429,149,1509,481,105,,
2023,126,519,169,1585,140,1567,228,1460,114,1547,,,,
2022,34,1163,55,1783,59,1717,141,1578,24,1758,,,,
2021,112,683,116,1672,94,1647,215,1468,104,1562,,,,
2020,168,384,241,1451,221,1440,250,1362,,,,,,
2019,196,258,235,1505,211,1483,302,1381,195,1432,186,362,,
2018,592,4,,,,,,,,,559,21,,
2017,,,,,,,,,,,1139,18,,
2016,1759,1,,,,,,,,,1172,18,,
