Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Newport R32,W vs Albot,32.4%,47.2%,50.0%,39.4%,48.1%,63.0%,50.0%,62.2%,45.8%,60.0%,100.0%,29.0%,54.8%,50.0%,65
2023 Newport R32,L vs Michelsen,42.2%,51.7%,50.0%,47.2%,55.6%,68.3%,57.1%,64.8%,44.0%,52.6%,75.0%,35.0%,42.5%,42.3%,172
2023 Queens Club R32,L vs Rune,45.3%,62.8%,52.9%,51.9%,62.2%,84.4%,64.7%,74.7%,47.6%,50.0%,100.0%,39.3%,57.1%,41.2%,177
2023 Madrid R128,L vs Wawrinka,41.8%,62.2%,67.4%,49.9%,49.1%,68.4%,69.0%,63.0%,33.3%,72.7%,-,43.3%,73.3%,64.7%,231
2023 Monte Carlo R64,L vs Berrettini,29.2%,40.0%,50.0%,34.8%,46.9%,65.6%,47.1%,58.1%,38.5%,52.6%,40.0%,21.1%,26.3%,53.3%,15
2023 Rotterdam R32,W vs Van Rijthoven,51.6%,75.8%,62.2%,57.7%,60.8%,82.4%,55.0%,71.6%,53.8%,80.0%,100.0%,48.5%,81.8%,70.6%,186
2023 Montpellier F,L vs Sinner,38.7%,53.2%,56.3%,50.2%,41.0%,59.0%,60.9%,59.2%,53.3%,66.7%,50.0%,47.1%,58.8%,44.4%,264
2023 Montpellier SF,W vs Rune,51.0%,67.0%,71.8%,60.6%,59.6%,80.7%,82.6%,76.5%,54.5%,71.4%,-,51.5%,63.6%,56.3%,273
2023 Australian Open R64,L vs Rune,38.1%,56.0%,57.9%,45.1%,55.3%,70.2%,52.4%,67.9%,60.0%,63.0%,50.0%,26.1%,60.9%,64.7%,60
2022 Paris R32,L vs Djokovic,32.1%,55.1%,58.1%,42.4%,38.3%,70.2%,62.1%,55.5%,66.7%,61.5%,100.0%,33.3%,47.6%,50.0%,130
2022 Paris R64,W vs Schwartzman,53.1%,59.2%,45.0%,57.6%,58.6%,65.5%,41.7%,66.2%,66.7%,76.5%,-,52.9%,58.8%,50.0%,148
2022 Astana R32,L vs Khachanov,32.3%,53.2%,68.6%,45.5%,32.4%,55.9%,78.3%,56.5%,66.7%,68.4%,-,42.9%,66.7%,50.0%,235
2022 Tel Aviv QF,L vs Lestienne,47.2%,68.5%,66.7%,55.3%,55.6%,77.8%,62.5%,68.9%,60.9%,74.2%,-,44.4%,70.4%,73.3%,259
2022 Tel Aviv R16,W vs Korda,60.7%,71.4%,66.7%,65.5%,70.0%,80.0%,66.7%,79.0%,71.4%,68.8%,100.0%,68.4%,84.2%,66.7%,329
2022 Winston Salem R32,W vs Duckworth,62.2%,75.6%,72.7%,65.8%,77.3%,86.4%,60.0%,84.5%,62.5%,64.3%,-,64.7%,88.2%,83.3%,316
2022 Winston Salem QF,L vs Mannarino,44.4%,57.1%,52.0%,50.2%,50.0%,66.7%,50.0%,60.0%,55.6%,77.8%,-,58.8%,70.6%,57.1%,289
2022 Canada R64,W vs Karatsev,41.4%,48.3%,54.2%,44.8%,51.7%,65.5%,64.3%,58.6%,53.8%,62.5%,-,47.4%,47.4%,40.0%,223
2022 Washington R16,L vs Rublev,57.1%,62.9%,47.8%,59.4%,62.5%,67.5%,33.3%,66.5%,50.0%,80.8%,100.0%,65.2%,73.9%,75.0%,274
2022 Newport F,W vs Bublik,38.3%,58.5%,53.3%,45.3%,49.0%,73.5%,52.0%,62.4%,65.0%,69.0%,33.3%,37.5%,59.4%,55.0%,175
2022 Newport SF,W vs Isner,59.4%,76.8%,63.6%,66.2%,62.2%,81.1%,64.3%,74.9%,75.0%,52.4%,-,69.2%,88.5%,62.5%,205
Career (39 matches),,42.3%,58.6%,56.3%,50.5%,50.5%,68.9%,58.5%,64.2%,54.0%,61.6%,73.6%,40.9%,58.7%,52.4%,215
