Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 Campinas CH R32,L vs Sell,0.81,0.71,54.5,3.6,2.8%,47.2%,6.3%,53.1%,45.5%,42.9%
2024 Porto Alegre CH F,L vs Kirkin,0.89,0.72,52.9,2.4,0.0%,37.5%,0.0%,58.6%,39.5%,45.7%
2022 Kitzbuhel R32,L vs Misolic,1.03,0.71,54.7,2.4,4.9%,56.1%,2.6%,59.0%,34.3%,23.3%
2019 M25 Bolzano R16,W vs Aichhorn,1.06,3.23,40.8,2.0,-,83.3%,-,90.9%,40.0%,39.3%
2019 M25 Bolzano R32,W vs La Vela,1.00,1.73,46.8,2.9,-,69.2%,-,78.3%,40.0%,51.9%
2019 M15 Kamen QF,L vs Barranco Cosano,0.87,0.76,54.8,2.6,-,58.5%,-,61.1%,41.0%,28.9%
2019 M25 Karlsruhe R16,L vs Guinard,0.92,0.70,50.4,2.1,-,73.1%,-,47.9%,20.4%,40.5%
2018 Puerto Vallarta CH R32,L vs Estrella,0.93,0.50,35.2,2.4,3.6%,46.4%,0.0%,46.4%,29.2%,28.6%
2017 Campinas CH R32,L vs Bagnis,0.90,0.69,50.7,2.1,6.7%,40.0%,8.3%,66.7%,40.0%,33.3%
2017 Argentina F7 SF,W vs Dellien,1.44,2.03,37.8,2.0,3.6%,57.1%,3.8%,65.4%,47.8%,63.2%
2017 Portugal F6 QF,W vs Gil,1.21,1.40,44.6,4.4,2.2%,58.7%,0.0%,59.1%,42.4%,53.6%
2016 Buenos Aires CH R32,L vs Munar,0.76,0.67,47.3,3.8,0.0%,58.6%,0.0%,50.0%,37.1%,42.4%
2016 Curitiba CH R32,W vs Souza,1.15,1.42,58.3,2.6,2.7%,70.3%,5.7%,65.7%,34.3%,45.2%
2016 Cali CH R32,L vs Jarry,0.80,0.50,41.8,2.0,10.3%,62.1%,4.0%,64.0%,12.9%,36.0%
2013 USA F3 QF,L vs Ginepri,0.88,0.40,32.8,2.1,-,46.4%,-,60.0%,26.1%,15.8%
2013 USA F1 R32,W vs Monteiro,0.97,1.29,55.9,3.0,-,66.7%,-,60.0%,52.3%,43.6%
2024 (2 matches),,0.84,0.72,53.8,2.9,1.5%,42.6%,3.3%,55.7%,42.7%,44.2%
2022 (1 matches),,1.03,0.71,54.7,2.4,4.9%,56.1%,2.6%,59.0%,34.3%,23.3%
2019 (4 matches),,0.95,1.06,49.1,2.3,0.0%,69.9%,0.0%,64.3%,33.8%,39.3%
2018 (1 matches),,0.93,0.50,35.2,2.4,3.6%,46.4%,0.0%,46.4%,29.2%,28.6%
2017 (3 matches),,1.18,1.27,44.7,2.5,3.8%,52.9%,3.2%,62.8%,43.0%,48.6%
Career (16 matches),,0.97,0.92,48.6,2.5,2.2%,58.6%,1.8%,60.4%,36.6%,39.9%
