Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
US Open,2,Hard,3,1,2,33.3%,2,2,0,100.0%,2009,2022,Q2,1,0.69,3.6%,4.5%,58.2%,73.4%,37.0%,58.2%,29.0%,70.6%,66.7%
Sao Paulo,2,Clay,2,0,2,0.0%,0,0,0,-,2015,2018,Q1,2,0.85,7.0%,3.2%,59.9%,58.5%,39.7%,51.0%,41.6%,57.1%,53.8%
Costa Do Sauipe,2,Clay,5,3,2,60.0%,4,3,1,75.0%,2009,2011,R32,2,0.78,0.6%,7.7%,55.8%,65.5%,43.5%,55.8%,34.5%,63.2%,20.0%
