Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 Roland Garros R64,L vs Alexandrova,15.9%,25.0%,27.3%,20.0%,32.0%,30.0%,69.2%,66.7%,50.0%,13.3%,20.0%,23.1%,50.0%,57.1%,0.0%,2
2023 Roland Garros R128,W vs Hibino,25.7%,31.9%,50.0%,32.3%,41.5%,52.3%,48.5%,31.3%,12.5%,22.2%,25.0%,46.4%,23.5%,15.8%,0.0%,73
2023 Linz R16,W vs Kalinina,22.1%,32.4%,42.3%,22.2%,35.2%,45.2%,38.5%,50.0%,50.0%,23.1%,23.1%,30.0%,0.0%,0.0%,-,-18
2022 Angers R32,W vs Parry,14.1%,37.5%,58.2%,19.1%,48.9%,60.5%,40.7%,50.0%,50.0%,0.0%,5.9%,52.9%,0.0%,69.2%,75.0%,-119
2021 Luxembourg R32,L vs Hartono,32.1%,34.8%,40.8%,35.4%,39.0%,45.3%,46.2%,34.9%,33.3%,23.3%,23.3%,30.4%,0.0%,15.0%,0.0%,-104
2021 Stuttgart R16,L vs Sabalenka,27.1%,33.9%,39.0%,37.8%,43.2%,39.1%,42.1%,50.0%,50.0%,10.0%,20.0%,38.9%,0.0%,38.5%,50.0%,-46
2021 Stuttgart R32,W vs Eikeri,17.5%,35.0%,76.7%,24.0%,48.0%,73.7%,21.4%,54.5%,50.0%,8.3%,16.7%,81.8%,0.0%,28.6%,-,-42
2020 US Open R64,L vs Kerber,16.7%,28.8%,58.5%,22.0%,36.0%,61.5%,75.0%,50.0%,25.0%,0.0%,7.1%,50.0%,100.0%,28.6%,-,-119
2020 Lyon F,L vs Kenin,29.6%,34.6%,42.9%,33.9%,39.0%,41.0%,31.3%,25.9%,20.0%,19.0%,23.8%,47.1%,0.0%,50.0%,50.0%,-49
2019 Eastbourne R16,L vs Bertens,14.3%,22.9%,38.9%,17.1%,31.7%,47.1%,28.6%,55.0%,75.0%,13.0%,13.0%,25.0%,23.1%,10.0%,-,0
2019 Stuttgart R32,L vs Bertens,23.4%,31.2%,42.1%,25.0%,33.3%,44.4%,14.3%,37.0%,16.7%,22.2%,29.6%,38.1%,13.3%,16.7%,25.0%,-21
2019 Charleston R64,L vs Zidansek,18.1%,23.6%,37.9%,16.3%,22.4%,46.3%,29.2%,48.0%,80.0%,22.7%,27.3%,17.6%,20.0%,0.0%,0.0%,-51
2016 Nurnberg QF,L vs Beck,12.4%,21.3%,48.0%,17.5%,29.8%,51.1%,45.8%,48.5%,0.0%,3.4%,6.9%,42.9%,0.0%,60.0%,-,-83
2016 Nurnberg R32,W vs Larsson,16.4%,25.5%,62.2%,19.1%,29.8%,57.9%,36.0%,50.0%,33.3%,0.0%,0.0%,85.7%,0.0%,40.0%,-,-119
2016 Rome R32,L vs Williams,27.3%,34.8%,36.2%,32.6%,41.9%,41.4%,55.0%,60.9%,50.0%,18.2%,22.7%,27.8%,8.3%,20.0%,0.0%,-51
2016 Rome R64,W vs Schmiedlova,30.6%,40.3%,61.9%,38.1%,52.4%,61.5%,31.3%,46.2%,0.0%,15.8%,15.8%,62.5%,0.0%,33.3%,0.0%,-43
2016 Stuttgart R16,L vs Suarez Navarro,9.0%,17.9%,44.9%,12.5%,20.8%,42.9%,46.4%,55.0%,75.0%,3.6%,14.3%,48.1%,22.2%,31.6%,16.7%,-80
2016 Indian Wells R64,L vs Kasatkina,22.1%,28.6%,47.3%,27.1%,37.5%,54.3%,31.6%,48.3%,37.5%,16.7%,16.7%,35.0%,7.1%,30.0%,0.0%,40
2016 Australian Open R32,W vs Vinci,19.6%,28.9%,45.8%,21.3%,31.1%,41.7%,43.3%,38.7%,40.0%,20.0%,30.0%,54.2%,0.0%,21.4%,25.0%,73
2015 Luxembourg R16,L vs Voegele,15.6%,29.7%,36.5%,15.0%,35.0%,41.2%,50.0%,45.0%,75.0%,18.2%,22.7%,27.8%,12.5%,7.1%,0.0%,-3
Career (22 matches),,21.2%,29.7%,46.5%,25.7%,36.5%,48.9%,40.2%,45.3%,43.4%,14.1%,18.4%,41.9%,13.3%,29.3%,20.0%,26
