Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,15,5,10,33.3%,2,2,0,100.0%,2014,2026,R16,15,0.95,4.7%,5.8%,62.6%,60.7%,46.3%,55.3%,42.3%,57.5%,45.7%
Roland Garros,8,Clay,14,6,8,42.9%,3,2,1,66.7%,2013,2025,R64,14,0.94,3.3%,6.0%,63.3%,60.6%,44.2%,54.6%,42.8%,53.7%,43.9%
Wimbledon,8,Grass,12,4,8,33.3%,3,2,1,66.7%,2013,2023,R32,10,0.93,7.0%,5.1%,62.4%,66.5%,49.1%,59.9%,37.4%,55.2%,31.7%
US Open,10,Hard,16,6,10,37.5%,1,0,1,0.0%,2013,2025,R64,16,0.98,4.4%,6.4%,65.6%,64.9%,44.3%,57.8%,41.3%,48.6%,39.3%
Olympics,1,,2,1,1,50.0%,1,1,0,100.0%,2021,2021,R32,0,,,,,,,,,,
Ostrava,4,Hard,5,1,4,20.0%,3,0,3,0.0%,2020,2026,Q2,5,0.94,5.7%,3.5%,71.0%,62.6%,44.9%,57.5%,40.1%,60.0%,37.1%
Auckland,2,Hard,4,2,2,50.0%,2,1,1,50.0%,2024,2026,R32,4,0.95,3.3%,4.8%,64.0%,60.8%,48.7%,56.5%,41.5%,48.6%,37.8%
Limoges 125,2,Hard,5,3,2,60.0%,1,1,0,100.0%,2022,2025,SF,4,1.21,7.4%,5.3%,61.4%,76.6%,50.9%,66.7%,40.2%,60.0%,31.0%
Angers 125,3,Hard,10,7,3,70.0%,3,3,0,100.0%,2022,2025,F,10,1.05,4.6%,4.1%,67.4%,68.4%,46.4%,61.3%,40.7%,55.6%,41.0%
Berlin,3,Grass,5,2,3,40.0%,2,1,1,50.0%,2021,2025,Q2,5,0.90,6.3%,6.3%,66.3%,71.4%,43.8%,62.1%,34.0%,63.2%,40.9%
Linz,7,Hard,26,19,7,73.1%,2,1,1,50.0%,2012,2024,F,21,1.15,4.6%,3.2%,69.3%,64.7%,52.5%,61.0%,44.8%,62.0%,49.2%
