Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Nonthaburi CH R16,W vs Uchiyama,17.4%,31.4%,55.7%,26.9%,23.0%,37.7%,61.7%,36.2%,26.9%,45.7%,66.7%,4.2%,16.7%,43.5%,-74
2019 St Petersburg R16,L vs Medvedev,16.4%,25.4%,51.0%,25.4%,25.0%,40.0%,63.3%,40.0%,50.0%,40.0%,33.3%,4.5%,4.5%,33.3%,-77
2018 Madrid R32,L vs Zverev,20.6%,35.3%,44.4%,32.4%,22.9%,43.8%,56.8%,39.6%,75.0%,54.2%,50.0%,15.0%,15.0%,17.6%,-79
2017 Dubai R16,W vs Federer,29.5%,40.0%,56.3%,35.4%,39.1%,47.8%,60.7%,51.3%,52.9%,44.8%,-,21.7%,34.8%,52.8%,14
2016 Astana CH F,W vs Kravchuk,26.1%,39.1%,66.7%,30.7%,36.0%,48.0%,56.3%,44.4%,90.0%,66.7%,-,15.0%,30.0%,76.5%,-7
2016 Indian Wells R128,L vs Carreno Busta,40.8%,49.0%,41.4%,46.1%,51.5%,63.6%,50.0%,59.4%,50.0%,52.6%,0.0%,18.8%,18.8%,30.8%,-79
2015 St Petersburg R32,W vs Sidorenko,26.4%,39.6%,66.7%,32.1%,33.3%,53.3%,65.0%,43.3%,37.5%,57.1%,40.0%,20.0%,25.0%,68.8%,73
2014 Washington R64,W vs Tiafoe,30.4%,48.2%,62.2%,39.5%,38.9%,63.9%,77.3%,53.1%,62.5%,50.0%,50.0%,16.7%,22.2%,40.0%,47
2013 Aptos CH SF,L vs Klahn,39.2%,42.2%,45.6%,41.4%,52.5%,55.9%,50.0%,56.3%,45.8%,17.1%,0.0%,23.7%,26.3%,41.4%,97
Career (9 matches),,27.5%,38.4%,53.8%,34.4%,35.4%,49.5%,60.2%,46.7%,52.1%,44.5%,38.1%,16.5%,23.2%,45.5%,45
