Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,528,71,361,1381,340,1354,,,,,773,52,,
2023,251,241,303,1429,282,1411,283,1388,205,1414,,,,
2022,388,119,256,1484,231,1463,264,1426,,,,,,
2021,172,392,197,1559,170,1534,213,1471,165,1494,,,,
2020,123,540,162,1565,149,1532,170,1498,,,984,25,,
2019,112,497,130,1644,127,1603,142,1553,120,1559,,,,
2018,97,594,134,1639,124,1601,137,1557,142,1504,289,155,,
2017,72,704,120,1658,106,1644,169,1521,111,1548,259,235,,
2016,125,482,155,1605,145,1567,154,1531,155,1494,,,,
2015,91,615,105,1687,95,1653,133,1570,143,1519,742,63,,
2014,130,421,205,1537,196,1502,187,1499,178,1433,403,150,,
2013,113,493,162,1594,147,1559,175,1514,135,1507,575,90,,
2012,81,637,104,1689,79,1669,124,1589,143,1502,204,322,,
2011,144,366,195,1535,196,1484,173,1518,,,236,277,,
2010,259,180,256,1471,258,1412,234,1450,,,560,78,,
2009,472,67,303,1424,292,1374,271,1407,,,399,133,,
2008,514,50,,,,,,,,,544,80,,
2007,828,14,,,,,,,,,773,38,,
2006,,,,,,,,,,,1661,1,,
