Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,20,9,11,45.0%,10,4,6,40.0%,2011,2022,R32,17,0.94,7.4%,2.5%,58.7%,71.8%,48.8%,62.3%,35.4%,70.1%,30.7%
Roland Garros,12,Clay,18,6,12,33.3%,10,7,3,70.0%,2011,2022,R64,18,0.90,5.3%,2.7%,57.7%,68.7%,47.5%,59.8%,36.0%,53.6%,32.3%
Wimbledon,10,Grass,12,2,10,16.7%,8,3,5,37.5%,2012,2023,R128,9,0.72,6.6%,2.6%,61.8%,68.4%,50.5%,61.6%,27.6%,63.3%,34.6%
US Open,11,Hard,25,14,11,56.0%,16,6,10,37.5%,2010,2021,R32,22,0.96,6.7%,2.6%,56.7%,73.3%,50.8%,63.5%,35.1%,64.6%,39.2%
Olympics,1,,3,2,1,66.7%,1,1,0,100.0%,2016,2016,R16,3,0.78,4.7%,2.2%,57.3%,62.4%,52.5%,58.2%,32.8%,65.4%,50.0%
Davis Cup,5,,7,3,4,42.9%,4,3,1,75.0%,2013,2018,,2,0.88,7.3%,3.1%,62.5%,72.8%,43.3%,61.8%,33.7%,73.3%,20.0%
Moscow,13,Hard,20,7,13,35.0%,2,2,0,100.0%,2008,2021,SF,20,0.93,6.9%,2.8%,58.7%,72.8%,46.8%,62.1%,35.2%,56.7%,38.6%
St. Petersburg,10,Hard,19,9,10,47.4%,4,2,2,50.0%,2009,2021,R16,17,1.02,7.6%,3.5%,60.5%,71.0%,47.8%,61.8%,38.8%,65.6%,51.0%
Indian Wells Masters,6,Hard,12,5,7,41.7%,4,2,2,50.0%,2013,2021,R32,12,0.96,5.6%,2.9%,58.5%,70.5%,55.9%,64.4%,34.3%,59.2%,30.4%
Dubai,5,Hard,12,7,5,58.3%,5,2,3,40.0%,2015,2021,QF,12,0.98,5.4%,3.1%,55.4%,69.1%,56.2%,63.4%,35.8%,64.5%,45.0%
Miami Masters,5,Hard,8,3,5,37.5%,6,2,4,33.3%,2013,2019,R64,8,0.94,4.6%,3.6%,53.5%,71.2%,55.1%,63.7%,34.0%,62.0%,33.3%
Sofia,5,Hard,5,0,5,0.0%,4,1,3,25.0%,2016,2023,R32,5,0.77,5.2%,2.0%,60.2%,70.5%,47.2%,61.2%,29.7%,70.0%,20.0%
