Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,21,6,15,28.6%,18-33,35.3%,202-263,43.4%,1-3,25.0%,21,63.3%,24.7%,6.1%,10.3%,59.6%,66.4%,39.2%,55.4%,38.1%,46.5%,0.85
Clay,11,4,7,36.4%,12-15,44.4%,116-126,47.9%,1-1,50.0%,11,63.3%,32.5%,5.4%,7.0%,64.6%,62.6%,41.4%,55.1%,41.1%,48.3%,0.92
Grass,5,3,2,60.0%,6-5,54.5%,56-54,50.9%,0-1,0.0%,5,83.6%,18.5%,8.1%,5.3%,68.0%,69.3%,50.4%,63.2%,35.4%,50.1%,0.96
Grand Slams,6,2,4,33.3%,5-8,38.5%,52-65,44.4%,0-0,-,6,60.3%,28.8%,7.2%,7.7%,69.5%,61.5%,35.7%,53.6%,38.0%,46.2%,0.82
Premiers,9,2,7,22.2%,6-14,30.0%,70-104,40.2%,0-1,0.0%,9,59.3%,21.8%,4.6%,11.1%,56.6%,62.2%,42.3%,53.5%,37.3%,45.1%,0.80
Internationals,10,5,5,50.0%,12-12,50.0%,117-114,50.6%,1-3,25.0%,10,74.3%,28.1%,7.5%,6.9%,65.7%,69.4%,42.1%,60.1%,40.5%,50.2%,1.01
Semi-finals,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,55.6%,20.0%,7.2%,8.7%,62.3%,58.1%,34.6%,49.3%,35.1%,42.9%,0.69
Quarter-finals,3,1,2,33.3%,2-4,33.3%,23-32,41.8%,0-0,-,3,64.3%,18.5%,9.9%,7.5%,62.7%,65.3%,41.7%,56.5%,38.3%,46.7%,0.88
vs Righties,34,12,22,35.3%,33-49,40.2%,344-405,45.9%,2-4,33.3%,34,66.8%,25.8%,6.0%,8.6%,62.5%,65.9%,41.8%,56.9%,38.4%,47.6%,0.89
vs Lefties,3,1,2,33.3%,3-4,42.9%,30-38,44.1%,0-1,0.0%,3,58.8%,30.3%,7.8%,7.8%,61.5%,63.4%,36.0%,52.8%,41.0%,47.0%,0.87
vs Top 10,3,0,3,0.0%,1-6,14.3%,24-43,35.8%,1-0,100.0%,3,62.5%,8.8%,4.5%,5.0%,60.9%,59.7%,48.8%,55.5%,29.5%,42.9%,0.66
