Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Indian Wells R64,L vs Kostyuk,21.7%,28.3%,33.3%,24.0%,36.0%,42.1%,30.0%,53.3%,100.0%,26.7%,26.7%,18.2%,0.0%,14.3%,0.0%,100
2025 Indian Wells R128,W vs Niemeier,27.8%,32.9%,47.1%,34.9%,41.9%,53.6%,5.9%,30.8%,50.0%,23.3%,26.7%,39.1%,0.0%,16.7%,0.0%,97
2025 Auckland SF,L vs Tauson,20.3%,27.5%,40.8%,30.2%,41.9%,40.0%,42.9%,63.6%,75.0%,5.0%,5.0%,42.1%,18.2%,77.8%,100.0%,-74
2025 Auckland QF,W vs Pera,47.3%,58.2%,48.1%,61.1%,69.4%,57.1%,37.5%,50.0%,-,23.5%,41.2%,38.5%,0.0%,44.4%,100.0%,23
2025 Auckland R16,W vs Hibino,32.6%,39.1%,66.7%,38.5%,46.2%,75.0%,0.0%,18.8%,-,31.3%,37.5%,54.5%,0.0%,50.0%,-,137
2024 Auckland R32,W vs Hontama,32.9%,39.7%,37.8%,43.8%,50.0%,40.7%,34.8%,48.0%,40.0%,14.3%,23.8%,33.3%,0.0%,54.5%,100.0%,19
2024 Madrid R32,L vs Sabalenka,28.1%,32.3%,44.6%,32.1%,37.7%,50.0%,42.9%,53.1%,50.0%,25.6%,28.2%,37.9%,23.5%,50.0%,66.7%,8
2024 Madrid R128,W vs Avanesyan,22.2%,38.9%,62.5%,26.3%,44.7%,67.9%,21.4%,54.2%,75.0%,14.3%,28.6%,50.0%,12.5%,16.7%,-,25
2022 San Diego R32,L vs Gauff,14.3%,23.8%,48.0%,18.4%,28.9%,41.9%,22.2%,35.0%,60.0%,9.5%,19.0%,57.9%,0.0%,30.0%,0.0%,-27
Career (9 matches),,27.4%,35.1%,46.9%,34.6%,44.0%,50.7%,28.7%,46.0%,64.3%,19.7%,25.9%,41.3%,7.1%,41.5%,53.8%,71
