Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Clay,6,2,4,33.3%,6-8,42.9%,61-61,50.0%,0-0,-,6,62.3%,37.7%,6.5%,7.6%,68.8%,61.4%,40.8%,54.9%,42.9%,49.1%,0.95
Grand Slams,2,1,1,50.0%,3-2,60.0%,27-20,57.4%,0-0,-,2,66.7%,47.8%,5.0%,7.2%,71.9%,64.0%,38.5%,56.8%,46.8%,51.8%,1.08
Premiers,2,1,1,50.0%,2-2,50.0%,16-16,50.0%,0-0,-,2,62.5%,37.5%,7.8%,7.8%,67.2%,60.3%,44.7%,55.2%,43.6%,50.0%,0.97
vs Righties,6,2,4,33.3%,6-8,42.9%,61-61,50.0%,0-0,-,6,62.3%,37.7%,6.5%,7.6%,68.8%,61.4%,40.8%,54.9%,42.9%,49.1%,0.95
