Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,25,12,13,48.0%,4,4,0,100.0%,2002,2014,R16,14,0.87,2.3%,11.4%,64.2%,60.7%,32.4%,50.6%,43.0%,49.2%,42.1%
Roland Garros,11,Clay,20,9,11,45.0%,5,2,3,40.0%,2001,2013,R32,13,0.96,1.9%,8.8%,66.6%,61.7%,38.1%,53.8%,44.6%,55.7%,40.2%
Wimbledon,11,Grass,27,16,11,59.3%,5,5,0,100.0%,2001,2013,R16,10,0.94,1.6%,7.8%,69.3%,61.5%,40.9%,55.2%,42.0%,46.9%,46.7%
US Open,12,Hard,25,12,13,48.0%,6,3,3,50.0%,2001,2013,R16,14,0.93,1.7%,8.6%,66.3%,58.0%,42.3%,52.7%,43.8%,51.1%,39.9%
Olympics,3,,5,2,3,40.0%,0,0,0,-,2000,2008,R16,0,,,,,,,,,,
Fed Cup,7,,25,14,11,56.0%,3,3,0,100.0%,1998,2011,,0,,,,,,,,,,
Birmingham,12,Grass,31,19,12,61.3%,8,5,3,62.5%,2001,2014,SF,15,1.10,2.4%,6.9%,68.3%,61.7%,48.2%,57.4%,46.7%,53.8%,45.9%
Auckland,8,Hard,21,14,7,66.7%,8,7,1,87.5%,2002,2012,W,9,0.92,1.4%,8.1%,66.4%,59.1%,39.0%,52.3%,43.8%,48.2%,58.0%
Miami,9,Hard,21,12,9,57.1%,3,2,1,66.7%,2002,2013,SF,8,0.85,1.9%,8.6%,65.8%,55.3%,40.9%,50.4%,42.3%,54.2%,49.0%
Luxembourg,9,Hard,19,10,9,52.6%,6,3,3,50.0%,1998,2013,QF,7,1.00,0.9%,10.5%,63.0%,61.1%,37.3%,52.3%,47.6%,55.1%,50.8%
Paris,9,Carpet,15,6,9,40.0%,3,2,1,66.7%,1999,2008,SF,3,0.96,3.3%,7.1%,68.9%,58.2%,28.8%,49.1%,48.8%,32.0%,53.3%
Indian Wells,8,Hard,16,8,8,50.0%,5,2,3,40.0%,2002,2013,R32,10,1.02,1.0%,8.7%,66.9%,60.2%,43.7%,54.7%,46.0%,48.9%,46.9%
