Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2013 Australian Open R64,L vs Azarenka,74.4%,27.6%,0.0%,0/0,2.33,0.0%,73.3%,22.7%,0.0%,2.38,0.0%,100.0%,42.9%,0.0%,2.24,0.0%
Career (1 matches),,74.4%,27.6%,0.0%,0.0%,2.33,0.0%,73.3%,22.7%,0.0%,2.38,0.0%,100.0%,42.9%,0.0%,2.24,0.0%
