Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,259,129,130,49.8%,293-298,49.6%,2721-2780,49.5%,31-20,60.8%,115,-,-,1.4%,8.1%,67.5%,59.7%,39.8%,53.2%,44.0%,48.5%,0.94
Clay,89,35,54,39.3%,88-116,43.1%,908-1014,47.2%,7-9,43.8%,26,-,-,1.4%,9.5%,65.9%,59.3%,35.7%,51.3%,43.8%,47.5%,0.90
Grass,55,31,24,56.4%,69-53,56.6%,602-544,52.5%,7-4,63.6%,24,-,-,1.9%,7.1%,69.1%,62.3%,43.6%,56.5%,43.5%,50.0%,1.00
Carpet,15,6,9,40.0%,17-17,50.0%,155-164,48.6%,2-2,50.0%,3,-,-,3.3%,7.1%,68.9%,58.2%,28.8%,49.1%,48.8%,48.9%,0.96
Grand Slams,66,28,38,42.4%,68-84,44.7%,663-722,47.9%,6-5,54.5%,39,-,-,1.6%,8.6%,67.9%,60.1%,37.9%,53.0%,42.7%,47.7%,0.91
Premiers,158,70,88,44.3%,167-193,46.4%,1646-1751,48.5%,19-18,51.4%,58,-,-,1.4%,7.7%,68.3%,60.7%,39.6%,54.0%,44.1%,49.0%,0.96
Internationals,148,82,66,55.4%,183-154,54.3%,1612-1553,50.9%,19-10,65.5%,67,-,-,1.5%,8.4%,66.4%,59.8%,40.3%,53.2%,44.9%,49.0%,0.96
Finals,6,5,1,83.3%,9-5,64.3%,70-59,54.3%,2-0,100.0%,0,,,,,,,,,,,
Semi-finals,15,6,9,40.0%,17-19,47.2%,159-175,47.6%,2-0,100.0%,4,-,-,1.1%,7.7%,67.0%,51.4%,41.1%,48.0%,44.1%,46.0%,0.85
Quarter-finals,31,15,16,48.4%,34-38,47.2%,322-350,47.9%,5-2,71.4%,10,-,-,1.0%,6.6%,69.5%,56.6%,39.4%,51.4%,43.7%,47.5%,0.90
vs Righties,370,174,196,47.0%,408-434,48.5%,3854-4016,49.0%,41-33,55.4%,151,-,-,1.4%,8.2%,67.3%,59.7%,39.6%,53.1%,43.8%,48.4%,0.94
vs Lefties,36,19,17,52.8%,41-41,50.0%,394-389,50.3%,6-2,75.0%,15,-,-,2.5%,7.8%,68.8%,62.0%,38.9%,54.8%,45.2%,49.8%,1.00
vs Top 10,46,7,39,15.2%,19-78,19.6%,314-549,36.4%,3-6,33.3%,16,-,-,0.7%,9.2%,68.4%,57.6%,34.1%,50.1%,34.1%,42.4%,0.68
