Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2002,317,86,117,1669,99,1638,,,47,1677,106,550,46,1663
2001,196,191,76,1745,72,1685,91,1667,31,1721,34,1590,,
2000,35,960,54,1812,50,1751,70,1710,25,1762,53,1135,,
1999,65,745,52,1823,50,1764,68,1744,23,1761,10,2619,,
1998,28,1259,43,1847,36,1811,78,1727,15,1805,70,863,,
1997,76,633,49,1828,44,1784,81,1717,28,1755,70,968,,
1996,44,886,47,1861,40,1803,107,1684,36,1750,4,3099,,
1995,40,,24,1899,26,1850,85,1728,24,1787,18,1949,,
1994,66,,58,1832,52,1778,106,1680,41,1724,6,3456,,
1993,84,,99,1750,73,1731,127,1651,61,1666,5,2245,,
1992,142,,129,1701,109,1675,147,1623,104,1592,90,648,,
1991,123,,122,1705,104,1684,,,104,1599,149,361,,
1990,453,,,,,,,,,,381,59,,
1989,,,,,,,,,,,586,0,,
