Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
1993 Wimbledon R32,L vs Sampras,54.4%,37.8%,4.4%,2/1,1.91,23.1%,48.8%,40.0%,7.3%,1.33,23.3%,73.9%,35.3%,0.0%,2.32,22.7%
Career (1 matches),,54.4%,37.8%,4.4%,66.7%,1.91,23.1%,48.8%,40.0%,7.3%,1.33,23.3%,73.9%,35.3%,0.0%,2.32,22.7%
