Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,5,2,3,40.0%,5-8,38.5%,51-66,43.6%,0-0,-,5,49.1%,38.3%,2.5%,8.7%,57.8%,60.1%,37.1%,50.4%,44.3%,47.2%,0.89,R16 (2x)
2024,11,8,3,72.7%,16-8,66.7%,125-99,55.8%,1-0,100.0%,4,70.3%,30.6%,2.3%,8.1%,68.0%,71.5%,38.0%,60.8%,42.4%,51.1%,1.08,W (W75 Carrara)
2023,3,1,2,33.3%,0-4,0.0%,11-24,31.4%,0-0,-,2,45.5%,30.8%,0.0%,12.8%,50.0%,61.7%,38.3%,50.0%,43.1%,47.0%,0.86,QF (Barranquilla 125)
2022,4,1,3,25.0%,4-6,40.0%,47-54,46.5%,1-1,50.0%,1,61.1%,33.3%,4.1%,5.0%,62.8%,63.2%,46.7%,57.0%,41.6%,49.2%,0.97,R16 (W25 Canberra)
2020,3,2,1,66.7%,4-3,57.1%,32-26,55.2%,0-0,-,0,,,,,,,,,,,,QF (W80 Cagnes-sur-Mer)
2019,1,0,1,0.0%,0-2,0.0%,10-13,43.5%,0-1,0.0%,1,54.5%,36.4%,3.8%,11.3%,71.3%,61.4%,26.1%,51.2%,42.9%,47.0%,0.88,R32 (Karlsruhe)
2016,3,2,1,66.7%,4-3,57.1%,38-34,52.8%,2-0,100.0%,3,66.7%,35.3%,2.8%,8.1%,59.8%,67.3%,41.4%,56.9%,42.4%,49.5%,0.98,QF (San Antonio)
2015,13,12,1,92.3%,24-4,85.7%,163-88,64.9%,0-1,0.0%,0,,,,,,,,,,,,W (2x)
2014,18,12,6,66.7%,29-11,72.5%,214-153,58.3%,2-0,100.0%,0,,,,,,,,,,,,W (Bangkok 25K)
2013,10,3,7,30.0%,8-13,38.1%,99-110,47.4%,2-3,40.0%,0,,,,,,,,,,,,R16 (3x)
2012,35,21,14,60.0%,48-33,59.3%,418-352,54.3%,3-6,33.3%,0,,,,,,,,,,,,F (Moscow 25K)
2011,33,20,13,60.6%,43-31,58.1%,334-319,51.1%,2-2,50.0%,0,,,,,,,,,,,,W (Antalya 10K)
2010,11,5,6,45.5%,12-15,44.4%,120-133,47.4%,3-1,75.0%,0,,,,,,,,,,,,QF (Redding CA 25K)
2009,7,4,3,57.1%,9-7,56.3%,74-69,51.7%,0-0,-,0,,,,,,,,,,,,QF (2x)
2008,2,0,2,0.0%,2-4,33.3%,22-31,41.5%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,159,93,66,58.5%,208-152,57.8%,1758-1571,52.8%,16-15,51.6%,16,58.8%,34.9%,2.6%,8.6%,61.0%,64.6%,38.7%,54.5%,43.1%,48.6%,0.95,
