Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Charleston R32,L vs Svitolina,17.5%,23.8%,34.7%,20.5%,29.5%,37.1%,43.5%,57.1%,50.0%,12.5%,12.5%,28.6%,14.3%,44.4%,60.0%,2
2024 San Diego QF,L vs Navarro,6.0%,10.0%,30.0%,9.4%,15.6%,27.6%,57.1%,61.1%,100.0%,0.0%,0.0%,36.4%,37.5%,100.0%,100.0%,-119
2023 US Open R64,L vs Swiatek,12.5%,19.6%,47.6%,18.4%,26.3%,61.3%,47.4%,63.2%,100.0%,0.0%,9.1%,9.1%,75.0%,42.9%,0.0%,-119
2022 Granby F,L vs Kasatkina,7.8%,15.6%,50.0%,10.4%,18.8%,51.2%,61.9%,66.7%,88.9%,5.0%,15.0%,47.4%,36.4%,44.4%,0.0%,-74
2022 Roland Garros R32,L vs Trevisan,13.3%,17.8%,53.1%,12.9%,19.4%,59.3%,56.3%,60.0%,100.0%,28.6%,28.6%,20.0%,50.0%,80.0%,100.0%,46
2022 Miami R16,W vs Bronzetti,22.7%,35.5%,49.4%,28.0%,45.3%,51.9%,43.2%,68.4%,50.0%,13.8%,17.2%,44.0%,33.3%,76.5%,50.0%,13
2022 Indian Wells R64,W vs Jabeur,18.2%,23.6%,49.4%,19.5%,27.3%,46.8%,37.8%,40.0%,0.0%,16.7%,16.7%,56.0%,0.0%,23.5%,50.0%,6
2022 Indian Wells R64,W vs Zhang,21.1%,25.0%,49.1%,23.6%,29.1%,45.2%,32.0%,10.0%,16.7%,16.7%,16.7%,60.0%,0.0%,14.3%,0.0%,46
2022 Adelaide R32,L vs Swiatek,14.0%,19.3%,46.2%,16.1%,25.8%,57.7%,29.4%,57.1%,-,18.8%,18.8%,23.1%,28.6%,11.1%,0.0%,25
2019 Palermo R32,L vs Teichmann,17.1%,26.8%,52.5%,14.6%,27.1%,53.7%,65.0%,32.1%,33.3%,25.9%,33.3%,50.0%,53.3%,50.0%,0.0%,118
2019 Wimbledon R128,L vs Svitolina,17.0%,31.9%,50.0%,16.1%,38.7%,57.7%,64.7%,35.7%,0.0%,27.3%,27.3%,25.0%,80.0%,16.7%,0.0%,97
2019 Strasbourg R32,W vs Marcinkevica,13.9%,26.7%,51.2%,17.5%,31.3%,48.5%,33.3%,73.7%,81.8%,0.0%,11.1%,61.1%,25.0%,21.4%,0.0%,-119
2019 Fed Cup RR,L vs Collins,28.4%,31.1%,40.9%,35.4%,39.6%,48.4%,33.3%,29.6%,33.3%,23.5%,23.5%,23.1%,33.3%,0.0%,-,58
2018 New Haven R16,L vs Sabalenka,17.1%,28.6%,46.8%,22.7%,33.3%,49.0%,75.9%,43.2%,50.0%,10.3%,27.6%,42.3%,23.1%,43.8%,33.3%,-30
2017 Moscow R32,W vs Pliskova,26.4%,37.7%,49.3%,31.3%,46.9%,52.3%,31.0%,60.0%,42.9%,25.8%,32.3%,43.5%,41.7%,31.6%,0.0%,92
2017 Hong Kong SF,W vs Brady,23.5%,31.4%,54.1%,27.3%,36.4%,54.2%,33.3%,22.2%,100.0%,18.8%,25.0%,53.8%,0.0%,44.4%,-,30
2017 Hong Kong QF,W vs Cabrera,14.3%,22.6%,53.6%,21.3%,31.9%,54.1%,43.5%,54.2%,100.0%,9.5%,19.0%,52.6%,10.0%,18.2%,0.0%,-55
2016 Cincinnati R16,L vs Halep,10.8%,13.5%,32.3%,12.0%,16.0%,27.3%,28.6%,36.4%,0.0%,10.0%,10.0%,44.4%,0.0%,60.0%,-,-23
2016 Montreal R32,L vs Halep,8.6%,15.7%,46.7%,11.4%,20.5%,41.0%,50.0%,37.5%,50.0%,4.5%,9.1%,57.1%,10.0%,66.7%,60.0%,-74
2016 Montreal R64,W vs Beck,26.4%,34.0%,50.0%,42.9%,50.0%,31.3%,26.7%,53.8%,0.0%,10.0%,20.0%,66.7%,0.0%,54.5%,100.0%,-27
Career (36 matches),,18.6%,27.1%,47.3%,22.2%,33.4%,49.3%,43.2%,50.7%,53.8%,15.2%,20.2%,43.3%,24.7%,43.3%,31.1%,22
