Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,8,3,5,37.5%,6-12,33.3%,69-92,42.9%,1-0,100.0%,8,56.6%,29.4%,1.7%,7.9%,69.9%,59.2%,40.4%,53.6%,41.0%,47.3%,0.88,SF (Merida)
2024,26,12,14,46.2%,30-33,47.6%,306-308,49.8%,4-4,50.0%,26,58.0%,41.5%,2.6%,7.3%,67.2%,58.4%,42.1%,53.0%,46.5%,49.9%,0.99,SF (Hobart)
2023,15,6,9,40.0%,14-19,42.4%,144-150,49.0%,2-3,40.0%,15,59.2%,39.2%,1.8%,6.9%,63.7%,61.3%,38.7%,53.1%,45.4%,49.3%,0.97,SF (Hamburg)
2022,33,18,15,54.5%,38-32,54.3%,352-321,52.3%,2-5,28.6%,33,67.9%,34.0%,3.1%,7.0%,64.7%,64.0%,44.3%,57.0%,43.9%,50.5%,1.02,F (Granby)
2021,5,3,2,60.0%,6-5,54.5%,50-47,51.5%,0-1,0.0%,5,68.8%,39.6%,2.8%,7.7%,59.7%,65.5%,43.5%,56.6%,44.2%,50.5%,1.02,
2020,2,1,1,50.0%,3-2,60.0%,26-24,52.0%,0-0,-,2,68.0%,32.0%,0.6%,5.6%,60.7%,62.0%,51.4%,57.9%,43.5%,51.2%,1.03,R64 (Roland Garros)
2019,23,6,17,26.1%,14-37,27.5%,207-276,42.9%,1-4,20.0%,23,56.5%,30.0%,1.4%,6.4%,66.3%,57.9%,43.0%,52.9%,42.1%,47.3%,0.89,QF (Strasbourg)
2018,52,27,25,51.9%,64-60,51.6%,585-597,49.5%,13-2,86.7%,52,59.3%,38.8%,2.4%,10.2%,65.5%,62.5%,37.5%,53.9%,45.4%,49.7%,0.98,SF (2x)
2017,59,35,24,59.3%,82-61,57.3%,725-663,52.2%,7-12,36.8%,59,66.0%,38.5%,3.4%,6.2%,63.2%,63.9%,44.6%,56.8%,44.9%,50.8%,1.04,W (New Haven)
2016,48,27,21,56.3%,57-49,53.8%,500-476,51.2%,3-2,60.0%,48,65.7%,36.8%,2.5%,5.1%,63.7%,61.4%,46.9%,56.1%,44.9%,50.6%,1.02,F (Moscow)
2015,41,20,21,48.8%,46-47,49.5%,455-465,49.5%,10-6,62.5%,31,62.2%,37.7%,3.3%,6.1%,66.1%,62.4%,47.0%,57.2%,42.8%,50.1%,1.00,SF (Rome)
2014,2,1,1,50.0%,2-3,40.0%,25-27,48.1%,0-1,0.0%,2,-,-,2.6%,6.3%,63.0%,58.7%,39.4%,51.6%,47.0%,49.3%,0.97,R16 (Tokyo)
2013,8,2,6,25.0%,5-14,26.3%,74-105,41.3%,0-1,0.0%,8,-,-,3.6%,8.2%,56.0%,60.1%,37.1%,50.0%,41.2%,45.9%,0.82,R32 (4x)
2012,2,1,1,50.0%,2-2,50.0%,23-17,57.5%,0-1,0.0%,2,-,-,6.5%,4.8%,64.5%,63.7%,47.7%,58.1%,50.0%,54.2%,1.19,R16 ('s Hertogenbosch)
2010,1,0,1,0.0%,0-2,0.0%,6-13,31.6%,0-0,-,1,-,-,8.6%,6.9%,46.6%,59.3%,38.7%,48.3%,32.7%,40.7%,0.63,R32 (Moscow)
Career,325,162,163,49.8%,369-378,49.4%,3547-3581,49.8%,43-42,50.6%,315,62.6%,37.1%,2.7%,7.0%,64.6%,61.9%,43.0%,55.2%,44.5%,49.8%,0.99,
