Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Charleston R32,L vs Svitolina,78.6%,54.5%,1.8%,1/0,2.35,4.3%,78.9%,50.0%,0.0%,2.16,6.1%,82.4%,64.3%,5.9%,2.83,0.0%
2024 San Diego QF,L vs Navarro,93.0%,56.6%,3.5%,2/0,2.70,5.0%,97.0%,53.1%,3.0%,2.71,6.9%,87.5%,61.9%,4.2%,2.68,0.0%
2023 US Open R64,L vs Swiatek,80.4%,44.4%,8.9%,3/2,2.81,2.4%,81.1%,43.3%,5.4%,2.94,3.2%,88.2%,46.7%,17.6%,2.46,0.0%
2022 Granby F,L vs Kasatkina,85.2%,44.2%,1.6%,0/1,2.43,3.2%,93.5%,44.2%,2.2%,2.45,4.7%,81.8%,44.4%,0.0%,2.39,0.0%
2022 Roland Garros R32,L vs Trevisan,87.9%,41.4%,3.0%,1/1,2.65,0.0%,92.3%,39.6%,1.9%,2.58,0.0%,83.3%,50.0%,8.3%,3.02,0.0%
2022 Miami R16,W vs Bronzetti,86.1%,50.5%,3.7%,3/1,2.37,1.3%,87.7%,54.7%,1.4%,2.22,1.9%,82.9%,41.4%,8.6%,2.70,0.0%
2022 Indian Wells R64,W vs Jabeur,75.9%,54.1%,8.9%,3/7,2.37,9.2%,74.5%,48.8%,10.9%,2.31,12.9%,83.0%,59.1%,7.5%,2.50,0.0%
2022 Indian Wells R64,W vs Zhang,80.8%,54.8%,7.7%,3/1,2.00,1.8%,93.3%,50.0%,6.7%,2.00,2.4%,77.8%,64.3%,11.1%,-,0.0%
2022 Adelaide R32,L vs Swiatek,81.3%,43.6%,4.2%,1/1,2.39,5.6%,74.2%,43.5%,0.0%,2.18,8.0%,94.1%,43.8%,11.8%,2.89,0.0%
2019 Palermo R32,L vs Teichmann,77.4%,40.0%,3.6%,1/2,2.21,1.7%,83.1%,38.8%,3.4%,2.24,2.4%,80.0%,43.8%,5.0%,2.16,0.0%
2019 Wimbledon R128,L vs Svitolina,67.9%,47.4%,1.8%,1/0,2.14,38.2%,67.6%,40.0%,2.7%,2.08,50.0%,72.2%,61.5%,0.0%,2.30,0.0%
2019 Strasbourg R32,W vs Marcinkevica,69.8%,58.2%,6.3%,6/0,2.38,4.9%,72.5%,56.8%,7.8%,2.40,3.1%,83.3%,60.0%,5.6%,2.31,11.1%
2019 Fed Cup RR,L vs Collins,74.0%,47.4%,7.8%,5/1,2.81,9.1%,78.0%,37.5%,7.3%,2.66,12.9%,80.6%,60.0%,9.7%,3.18,0.0%
2018 New Haven R16,L vs Sabalenka,68.9%,51.6%,6.1%,8/0,2.40,5.2%,71.7%,51.2%,6.7%,2.30,5.9%,84.2%,52.1%,7.0%,2.60,3.8%
2017 Moscow R32,W vs Pliskova,53.3%,62.5%,6.7%,6/1,2.34,34.3%,63.6%,46.4%,6.8%,2.17,50.0%,82.4%,78.6%,11.8%,2.67,4.3%
2017 Hong Kong SF,W vs Brady,82.6%,61.4%,0.0%,0/0,2.71,8.1%,81.6%,64.5%,0.0%,2.83,12.5%,92.9%,57.7%,0.0%,2.50,0.0%
2017 Hong Kong QF,W vs Cabrera,72.1%,56.3%,2.7%,3/0,2.47,5.5%,79.4%,53.7%,2.9%,2.48,8.3%,81.3%,61.5%,3.1%,2.45,0.0%
2016 Cincinnati R16,L vs Halep,75.5%,43.2%,2.0%,1/0,2.46,0.0%,70.0%,42.9%,0.0%,2.39,0.0%,88.9%,43.8%,5.6%,2.64,0.0%
2016 Montreal R32,L vs Halep,69.8%,33.3%,9.3%,2/2,2.78,0.0%,69.2%,33.3%,7.7%,2.78,0.0%,80.0%,33.3%,13.3%,2.80,0.0%
2016 Montreal R64,W vs Beck,82.3%,60.8%,1.6%,0/1,3.06,0.0%,88.2%,56.7%,2.9%,2.66,0.0%,87.5%,66.7%,0.0%,3.42,0.0%
Career (36 matches),,75.4%,50.8%,4.8%,63.9%,2.44,7.8%,79.1%,48.0%,4.1%,2.39,10.5%,83.2%,55.9%,7.2%,2.55,2.3%
