Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),283,184,305,1462,,,249,1446,,,,,,
2025,334,150,298,1473,,,243,1454,,,,,,
2024,391,121,326,1419,363,1326,279,1409,250,1342,338,183,,
2023,212,293,253,1492,290,1402,211,1480,216,1397,,,,
2022,138,403,200,1550,208,1483,175,1535,186,1446,,,,
2021,201,323,141,1633,,,115,1615,,,,,,
2020,673,32,,,,,,,,,407,109,,
2019,1131,6,,,,,,,,,413,98,,
2018,,,,,,,,,,,235,235,,
2017,611,45,,,,,,,,,177,379,,
2016,457,87,,,,,,,,,288,240,,
2015,643,47,,,,,,,,,555,102,,
2014,920,15,,,,,,,,,,,,
2013,1250,5,,,,,,,,,1485,10,,
2012,1069,7,,,,,,,,,765,46,,
2011,1886,1,,,,,,,,,,,,
2010,,,,,,,,,,,1087,16,,
2009,1597,1,,,,,,,,,,,,
