Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,67,17,50,25.4%,51-120,29.8%,742-944,44.0%,12-20,37.5%,67,74.6%,14.6%,6.8%,4.0%,57.7%,69.7%,49.9%,61.3%,33.2%,47.2%,0.86
Clay,184,78,106,42.4%,189-249,43.2%,2045-2214,48.0%,23-43,34.8%,184,74.4%,22.6%,5.5%,3.7%,59.2%,69.5%,48.6%,60.9%,37.2%,49.2%,0.95
Grass,19,2,17,10.5%,12-43,21.8%,204-323,38.7%,6-6,50.0%,19,70.8%,7.3%,6.9%,4.4%,61.8%,68.5%,45.9%,59.9%,29.5%,44.7%,0.73
Grand Slams,36,8,28,22.2%,35-91,27.8%,522-700,42.7%,10-13,43.5%,36,72.3%,13.5%,5.6%,3.7%,61.2%,68.0%,48.1%,60.3%,32.6%,46.7%,0.82
Masters,33,12,21,36.4%,33-46,41.8%,364-412,46.9%,8-6,57.1%,33,76.2%,18.5%,5.5%,3.0%,58.4%,69.4%,51.6%,62.0%,36.2%,48.7%,0.95
Other Tours,201,77,124,38.3%,184-275,40.1%,2105-2369,47.0%,23-50,31.5%,201,74.3%,21.0%,6.1%,4.0%,58.5%,69.8%,48.4%,61.0%,36.3%,48.7%,0.93
Best of 5,36,8,28,22.2%,35-91,27.8%,522-700,42.7%,10-13,43.5%,36,72.3%,13.5%,5.6%,3.7%,61.2%,68.0%,48.1%,60.3%,32.6%,46.7%,0.82
Best of 3,234,89,145,38.0%,217-321,40.3%,2469-2781,47.0%,31-56,35.6%,234,74.6%,20.6%,6.0%,3.9%,58.5%,69.8%,48.9%,61.1%,36.2%,48.7%,0.93
Finals,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,50.0%,0.0%,3.7%,5.6%,66.7%,63.9%,38.9%,55.6%,32.1%,43.6%,0.72
Semi-finals,6,1,5,16.7%,5-11,31.3%,69-86,44.5%,0-3,0.0%,6,80.0%,11.7%,4.4%,3.0%,58.4%,71.5%,51.7%,63.3%,29.7%,47.0%,0.81
Quarter-finals,15,6,9,40.0%,18-19,48.6%,184-179,50.7%,1-5,16.7%,15,79.7%,23.3%,5.0%,3.7%,58.5%,72.4%,48.8%,62.6%,36.6%,49.7%,0.98
vs Righties,234,87,147,37.2%,222-356,38.4%,2625-3015,46.5%,37-62,37.4%,234,74.3%,19.8%,5.8%,3.8%,58.9%,69.5%,48.7%,61.0%,35.8%,48.5%,0.92
vs Lefties,36,10,26,27.8%,30-56,34.9%,366-466,44.0%,4-7,36.4%,36,73.2%,15.7%,6.7%,4.1%,60.1%,68.8%,49.2%,61.0%,33.7%,47.3%,0.87
vs Top 10,23,3,20,13.0%,13-47,21.7%,225-345,39.5%,3-6,33.3%,23,66.7%,13.3%,5.8%,3.9%,57.8%,67.3%,44.1%,57.5%,32.4%,45.2%,0.76
