Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,8,2,6,25.0%,0,0,0,-,2012,2023,R128,8,0.83,1.3%,8.1%,63.3%,52.3%,39.2%,47.5%,43.6%,51.3%,44.1%
Roland Garros,7,Clay,8,1,7,12.5%,2,0,2,0.0%,2011,2023,R128,5,0.71,0.0%,7.2%,68.0%,48.6%,30.6%,42.8%,40.4%,46.6%,33.3%
Wimbledon,7,Grass,9,2,7,22.2%,1,0,1,0.0%,2011,2022,R64,7,0.93,1.5%,5.3%,73.3%,59.6%,42.5%,55.0%,42.0%,56.7%,46.0%
US Open,6,Hard,7,1,6,14.3%,0,0,0,-,2011,2022,R128,6,0.78,0.3%,9.9%,66.8%,51.6%,33.9%,45.8%,42.1%,39.0%,62.5%
Bucharest 125,2,Clay,3,1,2,33.3%,1,0,1,0.0%,2022,2023,R32,3,0.99,0.0%,7.3%,69.8%,49.0%,40.3%,46.3%,53.1%,37.9%,54.5%
Bol,3,Clay,9,6,3,66.7%,2,1,1,50.0%,2017,2021,F,9,1.06,0.3%,4.9%,73.3%,53.9%,40.9%,50.4%,52.5%,40.0%,59.1%
Seoul,3,Hard,3,0,3,0.0%,0,0,0,-,2012,2019,R32,3,0.65,2.2%,9.5%,54.0%,43.2%,38.1%,40.9%,38.7%,33.3%,33.3%
Bucharest,6,Clay,12,5,7,41.7%,4,2,2,50.0%,2014,2019,R32,10,0.96,0.8%,7.7%,71.2%,56.5%,41.5%,52.1%,46.1%,49.5%,48.5%
Strasbourg,3,Clay,3,0,3,0.0%,0,0,0,-,2012,2019,R32,3,0.67,0.9%,7.1%,65.2%,54.1%,32.1%,46.4%,35.6%,53.8%,45.5%
Moscow,2,Hard,2,0,2,0.0%,0,0,0,-,2012,2018,R32,1,0.70,1.3%,5.3%,72.4%,43.6%,47.6%,44.7%,38.5%,27.3%,57.1%
