Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 Monastir R32,L vs Stefanini,50% (7/14),86% (6/7),4/8,71% (10/14),10% (1/10),3/6,1/1,1/2,0/0,0/1
2019 W25 Las Palmas de Gran Canaria QF,W vs Bassols Ribera,56% (10/18),100% (10/10),5/8,58% (11/19),27% (3/11),5/8,1/2,0/0,1/1,0/0
2019 W25 Rome R32,W vs Uebelhoer,73% (8/11),100% (8/8),5/6,64% (7/11),14% (1/7),2/8,2/4,0/0,1/2,0/0
2019 W25 Santa Margherita Di Pula R32,L vs Stefanini,22% (2/9),100% (2/2),1/5,63% (5/8),0% (0/5),1/2,0/0,0/0,0/0,0/0
2018 Strasbourg R32,L vs Wang,31% (4/13),100% (4/4),2/6,69% (9/13),33% (3/9),2/4,1/1,0/0,0/0,0/0
2018 Rome R64,L vs Kanepi,71% (5/7),20% (1/5),0/4,100% (8/8),25% (2/8),1/1,0/0,0/2,0/0,0/1
2017 Santa Margherita Di Pula $25K R32,L vs Leykina,69% (9/13),67% (6/9),4/7,77% (10/13),20% (2/10),3/5,0/0,0/1,0/0,0/1
2017 Santa Margherita Di Pula $25K R16,L vs Burger,33% (5/15),80% (4/5),1/7,62% (8/13),13% (1/8),0/3,0/0,3/3,0/0,2/2
2017 Santa Margherita Di Pula $25K R32,W vs Ene,70% (7/10),86% (6/7),2/4,60% (6/10),33% (2/6),2/5,0/0,2/2,0/0,0/0
2017 Templeton CA $60K R32,L vs Robson,0% (0/7),- (0/0),0/5,83% (5/6),0% (0/5),0/0,0/0,1/1,0/0,0/0
2017 Albuquerque NM $80K R32,L vs Gleason,38% (5/13),80% (4/5),0/3,33% (4/12),0% (0/4),3/3,0/0,0/1,0/0,0/0
2017 Prague $80K SF,L vs Muchova,25% (2/8),100% (2/2),2/4,75% (6/8),0% (0/6),1/2,0/0,0/2,0/0,0/1
2017 Prague $80K Q2,W vs Pribylova,58% (7/12),71% (5/7),1/4,33% (4/12),0% (0/4),3/5,1/2,1/1,1/1,0/0
2017 Rome $60K R32,L vs Baindl,50% (4/8),75% (3/4),1/6,88% (7/8),0% (0/7),1/3,0/0,0/1,0/0,0/1
2017 Perigueux $25K F,L vs Schnyder,45% (5/11),80% (4/5),3/4,64% (7/11),14% (1/7),3/4,0/1,0/2,0/0,0/1
2017 Perigueux $25K SF,W vs Saez Larra,67% (8/12),100% (8/8),4/6,58% (7/12),14% (1/7),3/6,0/0,1/1,0/0,0/0
2017 Perigueux $25K R32,W vs Bencheikh,88% (7/8),86% (6/7),2/2,63% (5/8),60% (3/5),2/4,0/0,0/0,0/0,0/0
2017 Lenzerheide $25K R32,L vs Silich,14% (2/14),100% (2/2),0/3,36% (5/14),40% (2/5),1/2,1/2,2/2,0/0,1/1
2017 Brescia $60K R32,L vs Glushko,44% (4/9),75% (3/4),1/5,78% (7/9),14% (1/7),1/3,0/0,0/1,0/0,0/1
2017 Grado $25K R16,L vs Mrdeza,55% (6/11),50% (3/6),0/5,55% (6/11),17% (1/6),1/3,0/0,3/3,0/0,2/2
2023 (1 matches),,50.0%,85.7%,50.0%,71.4%,10.0%,50.0%,100.0%,50.0%,-,0.0%
2019 (3 matches),,52.6%,100.0%,57.9%,60.5%,17.4%,44.4%,50.0%,-,66.7%,-
2018 (2 matches),,45.0%,55.6%,20.0%,81.0%,29.4%,60.0%,100.0%,0.0%,-,0.0%
2017 (31 matches),,53.5%,78.4%,39.3%,50.6%,20.4%,60.3%,66.7%,64.7%,80.0%,50.0%
2016 (19 matches),,55.5%,72.6%,35.7%,46.8%,17.7%,62.8%,50.0%,76.9%,45.5%,83.3%
Career (97 matches),,52.3%,80.1%,40.5%,50.2%,20.9%,63.8%,63.8%,65.7%,69.4%,60.5%
