Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Miami R64,L vs Rybakina,22.0%,27.1%,41.3%,24.0%,28.0%,39.5%,37.5%,69.2%,60.0%,11.1%,22.2%,50.0%,0.0%,25.0%,50.0%,-104
2026 Australian Open R16,L vs Jovic,0.0%,0.0%,33.3%,0.0%,0.0%,27.3%,90.9%,27.3%,0.0%,0.0%,0.0%,45.5%,71.4%,25.0%,33.3%,-119
2025 Guangzhou R16,L vs Seidel,20.0%,32.0%,50.0%,20.5%,35.9%,54.8%,52.6%,40.0%,33.3%,22.2%,22.2%,28.6%,33.3%,16.7%,0.0%,90
2025 Roland Garros R32,L vs Andreeva,8.1%,16.1%,42.9%,8.2%,18.4%,51.1%,39.1%,80.8%,80.0%,8.3%,8.3%,9.1%,40.0%,71.4%,50.0%,-30
2025 Miami R64,L vs Townsend,21.7%,30.1%,42.2%,20.6%,30.2%,48.0%,51.7%,38.2%,33.3%,26.3%,31.6%,21.4%,22.2%,30.0%,0.0%,-43
2025 Australian Open R32,L vs Kasatkina,16.1%,26.8%,34.8%,21.6%,35.1%,31.0%,83.3%,73.7%,100.0%,5.6%,11.1%,41.2%,30.0%,75.0%,0.0%,-58
2024 Wuhan R16,L vs Sabalenka,20.9%,23.3%,39.1%,21.2%,24.2%,42.3%,57.1%,78.9%,85.7%,25.0%,25.0%,25.0%,50.0%,75.0%,100.0%,111
2024 Seoul R32,L vs Anisimova,29.0%,36.2%,31.3%,31.6%,42.1%,30.8%,61.1%,70.0%,50.0%,26.7%,30.0%,31.8%,20.0%,53.3%,50.0%,-65
2024 US Open R32,L vs Paolini,21.5%,33.8%,40.8%,22.9%,39.6%,40.5%,70.8%,41.7%,0.0%,20.0%,20.0%,41.7%,83.3%,44.4%,0.0%,38
2024 US Open R64,W vs Wang,20.0%,25.0%,46.8%,15.4%,21.2%,47.7%,63.6%,56.7%,57.1%,30.8%,34.6%,44.4%,35.7%,50.0%,50.0%,-18
2024 Cincinnati R32,W vs Gauff,21.8%,28.2%,47.5%,21.3%,31.9%,54.1%,68.2%,24.0%,25.0%,22.6%,22.6%,37.5%,75.0%,33.3%,0.0%,-104
2024 Wimbledon R16,L vs Ostapenko,27.3%,38.6%,26.7%,29.2%,45.8%,35.3%,33.3%,58.3%,-,27.8%,33.3%,15.4%,25.0%,30.0%,50.0%,17
2024 Wimbledon R32,W vs Swiatek,18.8%,29.4%,58.5%,19.4%,33.9%,60.0%,53.6%,50.0%,20.0%,21.1%,21.1%,53.3%,71.4%,33.3%,0.0%,81
2024 Birmingham F,W vs Tomljanovic,33.3%,40.7%,57.1%,37.1%,45.7%,50.0%,81.3%,31.6%,-,27.8%,33.3%,69.2%,100.0%,42.9%,50.0%,-40
2024 Rome R32,L vs Swiatek,21.3%,36.1%,47.8%,21.7%,41.3%,58.3%,60.9%,60.9%,33.3%,23.1%,23.1%,10.0%,20.0%,87.5%,100.0%,57
2024 Indian Wells R16,L vs Swiatek,15.8%,21.1%,31.8%,11.4%,20.0%,32.3%,68.8%,78.9%,85.7%,27.8%,27.8%,30.8%,0.0%,80.0%,100.0%,115
2023 US Open R128,L vs Trevisan,13.4%,19.3%,46.0%,13.3%,18.9%,47.4%,50.0%,36.5%,40.0%,15.4%,23.1%,40.9%,20.0%,27.3%,-,21
2023 Roland Garros R32,L vs Stephens,6.3%,10.0%,43.1%,7.7%,13.5%,52.1%,29.2%,89.3%,100.0%,4.0%,4.0%,25.0%,7.7%,75.0%,50.0%,-77
2023 Roland Garros R64,W vs Zheng,15.7%,28.9%,52.2%,16.9%,29.2%,55.6%,70.4%,84.2%,75.0%,11.8%,29.4%,40.0%,18.2%,100.0%,100.0%,-37
2023 Roland Garros R128,W vs Zanevska,20.9%,24.4%,45.5%,23.8%,27.0%,52.1%,81.5%,47.2%,0.0%,14.3%,19.0%,27.8%,11.1%,75.0%,-,1
Last 52 Weeks (4 matches),,13.5%,20.3%,42.2%,15.0%,23.1%,44.9%,49.4%,60.2%,47.1%,9.8%,12.2%,32.4%,40.0%,38.1%,37.5%,-21
Career (78 matches),,17.7%,25.1%,45.6%,19.5%,28.9%,47.7%,58.9%,57.1%,56.2%,15.7%,19.3%,40.9%,28.9%,52.6%,49.4%,19
