Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Miami R64,L vs Rybakina,0.0%,-,3.4%,75.0%,7.8%,13.8%,0.0%,2.2%,25.0%,3.1%,16.7%,-135,-108
2026 Australian Open R16,L vs Jovic,0.0%,-,2.7%,0.0%,1.8%,0.0%,0.0%,9.8%,33.3%,2.4%,0.0%,-62,-81
2025 Guangzhou R16,L vs Seidel,0.0%,-,1.0%,0.0%,18.6%,20.0%,0.0%,5.1%,25.0%,3.2%,40.0%,-60,-51
2025 Roland Garros R32,L vs Andreeva,0.0%,-,10.9%,41.7%,8.5%,10.5%,0.0%,6.4%,33.3%,6.4%,13.3%,-38,-52
2025 Miami R64,L vs Townsend,0.0%,-,5.0%,33.3%,6.8%,14.3%,0.0%,5.5%,16.7%,1.6%,100.0%,-23,-16
2025 Australian Open R32,L vs Kasatkina,0.0%,-,2.7%,100.0%,2.0%,3.6%,0.0%,11.3%,16.7%,3.3%,37.5%,14,0
2024 Wuhan R16,L vs Sabalenka,0.0%,-,3.6%,50.0%,12.5%,13.6%,0.0%,8.3%,33.3%,2.4%,16.7%,-109,-77
2024 Seoul R32,L vs Anisimova,0.0%,-,2.8%,75.0%,8.3%,7.1%,0.0%,17.5%,27.3%,2.0%,33.3%,-84,-52
2024 US Open R32,L vs Paolini,0.0%,-,5.2%,57.1%,10.6%,13.8%,0.0%,13.2%,33.3%,3.4%,22.2%,15,24
2024 US Open R64,W vs Wang,0.0%,-,6.0%,80.0%,11.2%,0.0%,0.0%,9.4%,0.0%,3.8%,20.0%,-107,-97
2024 Cincinnati R32,W vs Gauff,0.0%,-,3.6%,83.3%,8.4%,14.3%,0.0%,7.4%,18.8%,1.8%,0.0%,-18,-31
2024 Wimbledon R16,L vs Ostapenko,0.0%,-,0.0%,0.0%,16.7%,12.5%,0.0%,21.4%,66.7%,0.0%,-,-16,1
2024 Wimbledon R32,W vs Swiatek,0.0%,-,3.7%,100.0%,15.8%,31.3%,0.0%,15.6%,37.5%,4.5%,36.4%,-42,-37
2024 Birmingham F,W vs Tomljanovic,0.0%,-,2.4%,66.7%,11.5%,22.7%,0.0%,15.7%,25.0%,2.3%,60.0%,-29,-3
2024 Rome R32,L vs Swiatek,0.0%,-,1.5%,100.0%,5.8%,0.0%,0.0%,5.6%,0.0%,7.0%,56.3%,-29,-27
2024 Indian Wells R16,L vs Swiatek,0.0%,-,2.0%,0.0%,1.6%,0.0%,0.0%,3.4%,0.0%,4.1%,37.5%,-30,-23
2023 US Open R128,L vs Trevisan,0.0%,-,4.9%,72.7%,2.1%,3.8%,0.0%,4.5%,4.7%,3.4%,17.4%,-114,-108
2023 Roland Garros R32,L vs Stephens,0.0%,-,3.7%,71.4%,9.1%,4.9%,0.0%,7.0%,33.3%,4.1%,45.0%,-84,-93
2023 Roland Garros R64,W vs Zheng,0.0%,-,1.8%,33.3%,3.3%,5.4%,0.0%,6.3%,40.0%,5.9%,59.1%,-77,-82
2023 Roland Garros R128,W vs Zanevska,0.0%,-,8.2%,73.3%,7.8%,2.6%,0.0%,6.1%,50.0%,2.8%,60.0%,-103,-82
Last 52 Weeks (4 matches),,0.0%,-,4.8%,42.1%,9.2%,10.8%,0.0%,6.1%,30.3%,4.0%,16.7%,-73,-73
Career (78 matches),,0.1%,71.4%,5.1%,66.5%,8.6%,7.8%,1.4%,7.3%,23.2%,4.0%,31.8%,-70,-63
