Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,27,11,16,40.7%,27-36,42.9%,281-310,47.5%,3-4,42.9%,26,62.7%,31.5%,2.0%,2.7%,71.1%,61.0%,43.4%,55.9%,42.5%,49.2%,0.96
Clay,10,4,6,40.0%,9-12,42.9%,100-111,47.4%,4-1,80.0%,10,63.1%,30.1%,2.3%,3.3%,71.8%,60.5%,45.9%,56.4%,41.7%,49.2%,0.96
Grass,5,1,4,20.0%,3-8,27.3%,41-58,41.4%,0-1,0.0%,5,57.1%,26.5%,3.0%,1.8%,70.3%,55.1%,45.5%,52.3%,41.2%,46.7%,0.86
Grand Slams,10,6,4,60.0%,12-10,54.5%,96-106,47.5%,3-1,75.0%,10,58.0%,34.7%,0.9%,3.2%,71.0%,60.0%,39.8%,54.1%,43.6%,49.0%,0.95
Premiers,11,3,8,27.3%,8-16,33.3%,103-127,44.8%,2-1,66.7%,11,63.4%,26.1%,3.0%,2.7%,71.2%,60.1%,45.3%,55.8%,41.7%,48.7%,0.94
Internationals,8,4,4,50.0%,9-9,50.0%,80-79,50.3%,1-0,100.0%,8,63.3%,36.7%,2.4%,3.2%,72.3%,60.1%,45.7%,56.1%,44.5%,50.2%,1.01
Quarter-finals,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-0,-,1,50.0%,20.0%,3.1%,1.6%,64.1%,48.8%,52.2%,50.0%,33.9%,42.5%,0.68
vs Righties,38,13,25,34.2%,32-52,38.1%,362-426,45.9%,5-6,45.5%,35,60.7%,27.1%,2.2%,2.7%,71.1%,59.4%,44.0%,54.9%,40.5%,47.8%,0.90
vs Lefties,4,3,1,75.0%,7-3,70.0%,55-39,58.5%,1-0,100.0%,4,69.6%,46.8%,3.2%,2.9%,70.5%,64.0%,44.0%,58.1%,49.5%,53.9%,1.18
vs Top 10,3,0,3,0.0%,1-6,14.3%,25-41,37.9%,0-0,-,3,51.5%,24.2%,1.7%,0.8%,75.2%,54.4%,41.7%,51.2%,38.6%,45.2%,0.79
