Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,349,170,179,48.7%,391-410,48.8%,3735-3757,49.9%,45-51,46.9%,335,64.9%,36.3%,2.0%,3.3%,68.5%,60.6%,46.2%,56.1%,43.9%,50.0%,1.00
Clay,155,91,64,58.7%,196-159,55.2%,1725-1593,52.0%,21-15,58.3%,152,63.6%,41.5%,1.5%,3.2%,69.2%,59.6%,46.7%,55.7%,46.2%,50.9%,1.04
Grass,42,18,24,42.9%,40-51,44.0%,424-441,49.0%,4-7,36.4%,42,67.7%,32.9%,2.8%,2.9%,67.2%,62.0%,49.4%,57.9%,41.7%,49.8%,0.99
Grand Slams,103,55,48,53.4%,123-114,51.9%,1115-1098,50.4%,16-12,57.1%,102,63.7%,38.7%,1.8%,3.2%,68.2%,60.7%,45.2%,55.8%,44.3%,50.1%,1.00
Premiers,157,70,87,44.6%,165-193,46.1%,1649-1740,48.7%,24-20,54.5%,156,64.0%,33.8%,2.0%,3.3%,68.4%,60.4%,46.1%,55.9%,43.2%,49.4%,0.98
Internationals,174,97,77,55.7%,209-179,53.9%,1874-1728,52.0%,19-22,46.3%,169,65.4%,41.2%,2.1%,3.5%,68.3%,60.4%,47.6%,56.3%,45.7%,51.0%,1.05
Finals,6,3,3,50.0%,8-7,53.3%,70-66,51.5%,2-0,100.0%,6,64.2%,37.3%,1.8%,3.6%,68.7%,60.3%,52.1%,57.7%,45.0%,51.4%,1.06
Semi-finals,14,6,8,42.9%,14-18,43.8%,140-149,48.4%,0-1,0.0%,14,66.0%,32.0%,2.5%,4.5%,67.2%,60.6%,48.2%,56.6%,41.6%,49.0%,0.96
Quarter-finals,44,14,30,31.8%,37-67,35.6%,485-546,47.0%,5-16,23.8%,44,64.0%,32.2%,1.9%,2.4%,69.4%,58.6%,48.7%,55.6%,41.8%,48.7%,0.94
vs Righties,499,253,246,50.7%,567-572,49.8%,5362-5305,50.3%,61-65,48.4%,483,64.4%,37.1%,1.9%,3.3%,68.4%,60.4%,46.7%,56.0%,44.2%,50.1%,1.00
vs Lefties,42,21,21,50.0%,49-46,51.6%,452-441,50.6%,7-10,41.2%,39,66.3%,39.0%,2.1%,2.8%,70.1%,60.7%,45.3%,56.1%,45.2%,50.6%,1.03
vs Top 10,65,13,52,20.0%,35-111,24.0%,552-812,40.5%,6-10,37.5%,64,57.6%,25.4%,1.5%,3.8%,68.4%,57.8%,42.2%,52.9%,39.6%,46.1%,0.84
