Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,15,Hard,41,26,15,63.4%,7,4,3,57.1%,2008,2023,F,39,1.14,6.3%,6.9%,62.5%,68.8%,47.9%,60.9%,44.7%,62.1%,44.4%
Roland Garros,15,Clay,45,30,15,66.7%,12,5,7,41.7%,2021,2025,SF,44,1.11,4.6%,6.2%,62.8%,66.2%,48.7%,59.7%,44.8%,57.5%,47.0%
Wimbledon,16,Grass,52,38,14,73.1%,10,5,5,50.0%,2008,2025,W,52,1.21,6.7%,5.4%,63.2%,70.9%,52.0%,64.0%,43.7%,63.9%,47.0%
US Open,18,Hard,53,35,18,66.0%,18,11,7,61.1%,2007,2025,QF,46,1.09,5.9%,7.4%,61.1%,67.9%,46.7%,59.6%,43.8%,57.6%,50.3%
Olympics,3,,12,9,3,75.0%,1,0,1,0.0%,2012,2021,W,10,1.21,7.2%,5.5%,63.2%,70.1%,53.2%,63.9%,43.7%,67.1%,53.6%
Fed Cup,10,,40,30,10,75.0%,9,6,3,66.7%,2008,2018,,8,1.10,6.2%,7.0%,65.9%,68.1%,46.2%,60.6%,43.2%,66.7%,39.7%
Rome,9,Clay,18,9,9,50.0%,3,1,2,33.3%,2025,2025,QF,17,1.04,2.8%,4.9%,64.6%,63.3%,48.2%,57.9%,43.7%,52.2%,54.0%
Madrid,14,Clay,46,35,11,76.1%,9,7,2,77.8%,2009,2025,W,45,1.13,5.5%,5.5%,63.1%,67.6%,51.4%,61.6%,43.3%,60.8%,42.7%
Miami,14,Hard,38,25,13,65.8%,7,5,2,71.4%,2008,2025,W,36,1.07,6.6%,6.6%,62.2%,67.4%,46.0%,59.3%,43.7%,53.5%,49.8%
Indian Wells,13,Hard,31,18,13,58.1%,7,4,3,57.1%,2009,2025,QF,29,1.03,5.2%,9.0%,57.8%,68.2%,43.2%,57.7%,43.7%,54.0%,44.6%
Beijing,11,Hard,30,19,11,63.3%,9,4,5,44.4%,2010,2023,F,28,1.08,5.2%,7.4%,61.0%,66.4%,46.5%,58.6%,44.6%,56.4%,43.6%
Cincinnati,13,Hard,31,18,13,58.1%,10,5,5,50.0%,2009,2023,F,30,1.06,6.1%,8.1%,59.9%,68.4%,46.8%,59.7%,42.6%,58.8%,40.4%
