Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,10,1,9,10.0%,6-16,27.3%,82-115,41.6%,0-0,-,9,58.8%,25.0%,5.4%,9.0%,63.9%,60.3%,40.5%,53.1%,38.1%,45.9%,0.81,R32 (2x)
2023,43,30,13,69.8%,63-32,66.3%,510-423,54.7%,13-6,68.4%,42,75.1%,33.1%,7.3%,7.8%,62.4%,69.8%,47.3%,61.4%,42.5%,51.9%,1.10,W (2x)
2022,46,27,19,58.7%,59-46,56.2%,537-491,52.2%,11-9,55.0%,46,74.4%,29.6%,7.0%,6.7%,62.8%,69.1%,46.7%,60.7%,41.2%,51.1%,1.05,W (Eastbourne)
2021,47,29,18,61.7%,66-40,62.3%,550-451,54.9%,6-6,50.0%,42,75.3%,35.2%,6.3%,5.4%,64.4%,67.9%,49.5%,61.3%,44.0%,52.6%,1.14,W (Doha)
2020,27,20,7,74.1%,43-18,70.5%,333-242,57.9%,4-4,50.0%,26,76.1%,40.2%,6.9%,6.0%,63.2%,68.3%,51.5%,62.1%,46.0%,53.7%,1.21,F (Doha)
2019,53,37,16,69.8%,84-39,68.3%,663-507,56.7%,9-6,60.0%,52,79.4%,33.2%,7.0%,6.2%,61.1%,71.2%,49.9%,62.9%,43.5%,53.0%,1.17,W (2x)
2018,65,47,18,72.3%,98-50,66.2%,774-601,56.3%,7-7,50.0%,63,74.2%,38.3%,6.2%,7.9%,59.9%,68.5%,47.9%,60.2%,44.9%,52.6%,1.13,W (5x)
2017,28,18,10,64.3%,40-22,64.5%,326-268,54.9%,5-6,45.5%,28,75.6%,31.0%,8.5%,9.0%,57.5%,74.0%,46.4%,62.3%,42.9%,52.3%,1.14,W (Birmingham)
2016,69,46,23,66.7%,102-56,64.6%,816-627,56.5%,7-7,50.0%,69,75.1%,37.8%,5.6%,6.4%,62.0%,68.5%,49.8%,61.4%,45.0%,53.1%,1.16,W (2x)
2015,55,38,17,69.1%,84-45,65.1%,673-532,55.9%,4-5,44.4%,38,73.5%,36.0%,6.3%,5.3%,63.4%,71.6%,52.6%,64.6%,42.1%,53.2%,1.19,W (3x)
2014,62,45,17,72.6%,93-43,68.4%,722-538,57.3%,11-4,73.3%,52,-,-,7.0%,5.8%,61.9%,69.3%,50.1%,62.0%,44.3%,53.2%,1.17,W (3x)
2013,74,51,23,68.9%,113-71,61.4%,921-806,53.3%,11-7,61.1%,68,53.1%,29.4%,4.6%,6.6%,62.6%,64.1%,46.7%,57.6%,44.5%,51.0%,1.05,W (2x)
2012,63,46,17,73.0%,98-48,67.1%,765-576,57.0%,6-4,60.0%,55,-,-,5.8%,5.6%,64.0%,68.3%,50.9%,62.0%,45.3%,53.3%,1.19,W (2x)
2011,67,56,11,83.6%,114-37,75.5%,833-587,58.7%,15-7,68.2%,56,-,-,5.5%,4.9%,61.7%,68.5%,50.1%,61.5%,44.9%,53.1%,1.16,W (6x)
2010,40,18,22,45.0%,40-48,45.5%,394-431,47.8%,6-5,54.5%,35,-,-,4.1%,7.1%,62.7%,64.0%,45.0%,56.9%,42.2%,49.5%,0.98,SF (2x)
2009,38,21,17,55.3%,41-38,51.9%,367-354,50.9%,3-1,75.0%,31,-,-,2.9%,8.0%,60.7%,59.7%,45.2%,54.0%,46.5%,50.2%,1.01,W (Hobart)
2008,29,14,15,48.3%,35-36,49.3%,334-326,50.6%,3-4,42.9%,24,-,-,4.0%,7.1%,64.2%,61.8%,47.0%,56.5%,44.9%,50.7%,1.03,QF (2x)
2007,1,0,1,0.0%,1-2,33.3%,10-16,38.5%,0-0,-,0,,,,,,,,,,,,R32 (Stockholm)
Career,817,544,273,66.6%,1180-687,63.2%,9610-7891,54.9%,121-88,57.9%,736,74.9%,34.9%,5.9%,6.6%,62.2%,67.8%,48.5%,60.5%,44.0%,52.2%,1.11,
