Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,4,0,4,0.0%,0-8,0.0%,22-50,30.6%,0-0,-,2,35.3%,12.5%,0.9%,7.8%,61.2%,47.9%,40.0%,44.8%,37.6%,41.5%,0.68,
2022,8,3,5,37.5%,8-11,42.1%,86-83,50.9%,0-2,0.0%,8,57.1%,48.2%,1.2%,5.7%,72.0%,54.5%,45.2%,51.9%,48.6%,50.2%,1.01,
2021,6,3,3,50.0%,7-8,46.7%,62-72,46.3%,0-0,-,6,53.7%,38.8%,0.7%,3.9%,74.7%,55.9%,40.9%,52.1%,46.8%,49.3%,0.98,QF (Belgrade)
2019,2,1,1,50.0%,1-3,25.0%,13-20,39.4%,0-0,-,2,55.0%,35.0%,2.6%,3.5%,69.3%,57.0%,42.9%,52.6%,42.0%,47.2%,0.89,
2018,3,1,2,33.3%,3-4,42.9%,32-33,49.2%,0-1,0.0%,3,54.8%,45.5%,0.5%,4.5%,68.0%,57.0%,36.6%,50.5%,47.4%,48.9%,0.96,R16 (Strasbourg)
2016,6,2,4,33.3%,5-8,38.5%,47-60,43.9%,0-0,-,3,51.6%,40.0%,2.0%,7.4%,71.6%,56.2%,41.4%,52.0%,46.1%,49.1%,0.96,R16 (Istanbul)
2015,2,1,1,50.0%,1-3,25.0%,12-24,33.3%,1-0,100.0%,1,28.6%,12.5%,0.0%,8.3%,72.2%,38.5%,40.0%,38.9%,22.5%,30.3%,0.37,
2014,4,2,2,50.0%,4-4,50.0%,30-35,46.2%,0-0,-,0,,,,,,,,,,,,
2013,2,1,1,50.0%,2-3,40.0%,21-24,46.7%,0-0,-,1,-,-,0.0%,15.1%,47.2%,56.0%,32.1%,43.4%,43.1%,43.2%,0.76,
2012,4,2,2,50.0%,4-5,44.4%,40-42,48.8%,0-0,-,0,,,,,,,,,,,,
2011,3,0,3,0.0%,2-6,25.0%,29-44,39.7%,0-1,0.0%,2,-,-,0.5%,6.1%,62.2%,62.3%,39.2%,53.6%,41.6%,47.8%,0.90,
2010,4,2,2,50.0%,4-5,44.4%,39-40,49.4%,0-0,-,0,,,,,,,,,,,,
Career,48,18,30,37.5%,41-68,37.6%,433-527,45.1%,1-4,20.0%,28,52.9%,40.1%,1.0%,5.7%,69.6%,55.5%,41.0%,51.1%,45.5%,48.2%,0.93,
