Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Clay,18,5,13,27.8%,15-29,34.1%,179-218,45.1%,1-2,33.3%,5,57.4%,40.7%,0.9%,3.7%,76.4%,56.1%,47.0%,54.0%,45.3%,49.5%,0.98
vs Righties,9,2,7,22.2%,6-15,28.6%,83-106,43.9%,1-1,50.0%,3,54.8%,40.6%,0.6%,3.9%,74.9%,56.0%,51.1%,54.7%,44.6%,49.2%,0.99
