Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
23-Mar-2026,W35 San Gregorio,Clay,QF,379,351,Carlota Martinez Cirez [ESP] d. Sakellaridi,6-4 6-0,0.68,5.9%,7.8%,58.8%,60.0%,28.6%,3/8,1:35
23-Mar-2026,W35 San Gregorio,Clay,R16,379,654,Sakellaridi d. Nina Vargova [SVK],7-5 7-5,1.10,2.4%,4.7%,55.3%,68.1%,52.6%,5/7,2:37
23-Mar-2026,W35 San Gregorio,Clay,R32,379,265,Sakellaridi d. Dalila Spiteri [ITA],7-5 6-0,2.15,4.2%,2.1%,54.2%,80.8%,68.2%,1/2,1:35
16-Mar-2026,W35 San Gregorio,Clay,R32,379,840,Anastasija Cvetkovic [SRB] d. Sakellaridi,7-6(0) 6-3,0.89,2.8%,11.1%,50.0%,72.2%,47.2%,5/8,1:44
09-Mar-2026,W50 Heraklion,Clay,R32,391,250,Jessica Pieri [ITA] d. Sakellaridi,7-5 6-4,0.89,3.1%,3.1%,53.8%,51.4%,56.7%,1/6,1:46
09-Mar-2026,W50 Heraklion,Clay,R64,391,1113,Sakellaridi d. Krystyna Pochtovyk [UKR],6-2 6-1,1.75,8.3%,0.0%,54.2%,76.9%,63.6%,1/1,1:27
02-Mar-2026,W35 Heraklion,Clay,R16,391,269,Angela Fita Boluda [ESP] d. Sakellaridi,6-1 6-1,0.42,4.7%,4.7%,41.9%,72.2%,24.0%,4/9,1:11
02-Mar-2026,W35 Heraklion,Clay,R32,391,346,Sakellaridi d. Natalija Senic [SRB],6-3 6-2,1.69,5.8%,1.9%,48.1%,80.0%,59.3%,1/2,1:21
23-Feb-2026,W35 Monastir,Hard,R16,407,362,Eva Bennemann [GER] d. Sakellaridi,6-2 6-1,0.67,5.5%,1.8%,54.5%,53.3%,32.0%,6/12,1:19
23-Feb-2026,W35 Monastir,Hard,R32,407,517,Sakellaridi d. Sarah Van Emst [NED],7-6(5) 6-4,1.12,6.7%,0.0%,55.6%,72.0%,42.5%,6/10,2:14
16-Feb-2026,W15 Monastir,Hard,F,411,331,Han Shi [CHN] d. Sakellaridi,6-4 6-2,0.59,1.7%,3.4%,53.4%,54.8%,48.1%,4/7,1:31
16-Feb-2026,W15 Monastir,Hard,SF,411,742,Sakellaridi d. Eliska Tichackova [CZE],7-6(3) 7-5,1.12,2.1%,2.1%,58.3%,58.9%,45.0%,8/13,2:22
16-Feb-2026,W15 Monastir,Hard,QF,411,1082,Sakellaridi d. Margaux Maquet [BEL],5-7 4-1,1.10,6.1%,2.0%,53.1%,61.5%,69.6%,0/1,1:24
16-Feb-2026,W15 Monastir,Hard,R16,411,989,Sakellaridi d. Ustiniya Lekomtseva [RUS],6-0 4-0,2.54,11.1%,3.7%,63.0%,88.2%,50.0%,0/0,0:47
16-Feb-2026,W15 Monastir,Hard,R32,411,1454,Sakellaridi d. Nika Hurkacz [POL],6-1 6-3,1.75,5.0%,5.0%,52.5%,76.2%,52.6%,0/2,1:21
09-Feb-2026,W15 Monastir,Hard,SF,412,540,Weronika Falkowska [POL] d. Sakellaridi,6-2 4-6 6-4,0.74,0.0%,3.1%,54.6%,52.8%,56.8%,9/14,2:30
09-Feb-2026,W15 Monastir,Hard,QF,412,498,Sakellaridi d. Jiaqi Wang [CHN],7-6(1) 7-5,1.18,5.0%,1.3%,53.8%,81.4%,56.8%,3/4,2:16
09-Feb-2026,W15 Monastir,Hard,R16,412,,Sakellaridi d. Antonina Sushkova [UKR],6-4 6-4,1.11,7.4%,1.5%,55.9%,81.6%,43.3%,3/4,1:37
09-Feb-2026,W15 Monastir,Hard,R32,412,,Sakellaridi d. Valeria Koussenkova [ESP],6-1 6-0,2.32,14.3%,7.1%,42.9%,83.3%,66.7%,1/1,1:01
02-Feb-2026,W15 Monastir,Hard,R32,406,593,Chenting Zhu [CHN] d. Sakellaridi,6-4 6-3,0.74,8.1%,4.8%,53.2%,60.6%,48.3%,2/6,1:30
