Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,23,13,10,56.5%,24-22,52.2%,216-211,50.6%,3-1,75.0%,23,69.9%,32.2%,5.0%,3.3%,53.8%,67.5%,49.4%,59.1%,42.7%,51.0%,1.04,F (W15 Monastir)
2025,73,39,34,53.4%,86-65,57.0%,692-621,52.7%,4-3,57.1%,72,68.0%,36.7%,5.6%,4.3%,52.5%,66.0%,48.3%,57.6%,44.6%,51.1%,1.05,W (3x)
2024,96,49,47,51.0%,113-104,52.1%,976-987,49.7%,14-6,70.0%,1,0.0%,0.0%,2.2%,6.7%,48.9%,40.9%,30.4%,35.6%,28.6%,32.5%,0.44,W (W15 Heraklion)
2023,94,49,45,52.1%,104-95,52.3%,942-884,51.6%,8-5,61.5%,2,83.3%,25.0%,4.7%,6.5%,54.2%,77.6%,55.1%,67.3%,42.4%,54.2%,1.30,F (W25 Perigueux)
2022,112,71,41,63.4%,154-95,61.8%,1239-980,55.8%,9-4,69.2%,0,,,,,,,,,,,,W (4x)
2021,75,44,31,58.7%,98-65,60.1%,774-663,53.9%,4-2,66.7%,0,,,,,,,,,,,,F (W15 Giza)
2020,36,20,16,55.6%,44-38,53.7%,378-354,51.6%,2-2,50.0%,0,,,,,,,,,,,,F (W15 Antalya)
2019,35,7,28,20.0%,23-57,28.7%,289-422,40.6%,0-3,0.0%,0,,,,,,,,,,,,SF (W15 Antalya)
2018,9,3,6,33.3%,6-13,31.6%,73-97,42.9%,0-0,-,0,,,,,,,,,,,,QF (Solarino $15K)
2017,2,0,2,0.0%,0-4,0.0%,11-25,30.6%,0-1,0.0%,0,,,,,,,,,,,,R32 (2x)
Career,555,295,260,53.2%,652-558,53.9%,5590-5244,51.6%,44-27,62.0%,98,68.3%,35.2%,5.4%,4.1%,52.8%,66.4%,48.5%,58.0%,44.0%,51.0%,1.05,
