Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 ITF Leiria QF,L vs Korneeva,23.7%,25.4%,31.8%,22.0%,22.0%,37.5%,42.9%,30.0%,42.9%,29.4%,35.3%,16.7%,37.5%,22.2%,-,-37
2025 ITF Granby R32,L vs Giavara,23.6%,25.5%,28.9%,28.2%,30.8%,28.6%,55.0%,5.3%,0.0%,16.7%,16.7%,30.0%,57.1%,20.0%,100.0%,25
2023 Miami R64,L vs Pegula,20.4%,27.8%,38.5%,23.8%,31.0%,37.5%,30.0%,50.0%,50.0%,12.5%,25.0%,42.9%,33.3%,60.0%,-,-23
2023 Australian Open R128,L vs Garcia,29.5%,36.4%,27.6%,37.5%,43.8%,25.0%,31.3%,25.0%,0.0%,10.0%,20.0%,33.3%,0.0%,60.0%,0.0%,-23
2022 ITF Madrid SF,L vs Eala,14.3%,30.6%,34.1%,22.6%,41.9%,41.7%,50.0%,23.5%,0.0%,0.0%,11.8%,23.5%,62.5%,11.1%,0.0%,-119
2017 ITF Charleston R32,L vs Embree,3.8%,7.6%,46.5%,4.8%,11.9%,50.0%,63.6%,75.0%,66.7%,3.1%,3.1%,41.9%,46.2%,57.9%,100.0%,-87
Last 52 Weeks (2 matches),,23.7%,25.4%,30.5%,25.0%,26.3%,33.3%,48.8%,17.9%,25.0%,24.1%,27.6%,22.7%,46.7%,21.4%,100.0%,73
Career (6 matches),,17.9%,23.8%,36.3%,22.5%,29.1%,38.1%,46.0%,36.0%,29.6%,10.4%,15.6%,32.6%,43.2%,40.4%,50.0%,-17
