Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2003,6,3,3,50.0%,7-7,50.0%,64-61,51.2%,1-0,100.0%,0,,,,,,,,,,,,QF (Zagreb)
2002,4,2,2,50.0%,5-5,50.0%,49-46,51.6%,0-0,-,0,,,,,,,,,,,,R16 (2x)
1997,8,6,2,75.0%,12-4,75.0%,87-58,60.0%,0-2,0.0%,0,,,,,,,,,,,,SF (2x)
1996,5,4,1,80.0%,8-4,66.7%,59-47,55.7%,0-0,-,0,,,,,,,,,,,,F (Prostejov)
1995,3,2,1,66.7%,3-3,50.0%,30-24,55.6%,1-1,50.0%,0,,,,,,,,,,,,QF (Barcelona)
1994,30,22,8,73.3%,46-20,69.7%,332-243,57.7%,2-3,40.0%,0,,,,,,,,,,,,W (2x)
1993,6,2,4,33.3%,5-9,35.7%,58-63,47.9%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
1992,4,2,2,50.0%,4-4,50.0%,32-32,50.0%,1-1,50.0%,0,,,,,,,,,,,,QF (Bucharest)
1991,7,4,3,57.1%,7-4,63.6%,55-46,54.5%,2-2,50.0%,0,,,,,,,,,,,,QF (2x)
1990,17,8,9,47.1%,14-23,37.8%,155-184,45.7%,4-1,80.0%,0,,,,,,,,,,,,SF (Salou)
1989,12,6,6,50.0%,14-10,58.3%,114-99,53.5%,1-2,33.3%,0,,,,,,,,,,,,SF (Zaragoza)
1988,9,5,4,55.6%,13-9,59.1%,99-90,52.4%,0-1,0.0%,0,,,,,,,,,,,,F (Nyon)
Career,111,66,45,59.5%,138-102,57.5%,1134-993,53.3%,12-14,46.2%,0,,,,,,,,,,,,
