Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2003,358,86,140,1612,113,1605,101,1623,,,455,86,,
2002,113,345,107,1690,89,1658,90,1670,76,1611,665,41,,
2001,51,715,78,1745,63,1714,69,1727,52,1663,631,45,,
2000,49,795,63,1785,77,1699,42,1801,43,1687,,,,
1999,38,986,45,1833,60,1750,30,1836,33,1717,1357,1,,
1998,30,1216,25,1920,35,1811,15,1919,33,1737,,,,
1997,33,1198,28,1926,34,1819,18,1922,44,1694,1289,2,,
1996,34,1118,45,1867,72,1737,27,1880,80,1627,460,91,,
1995,49,,58,1831,74,1725,40,1817,,,637,46,,
1994,38,,36,1889,82,1725,22,1908,,,273,182,,
1993,100,,105,1743,109,1674,59,1762,,,341,129,,
1992,22,,42,1870,40,1810,27,1893,75,1647,129,455,,
1991,30,,41,1867,50,1783,27,1856,72,1652,146,365,,
1990,90,,112,1687,143,1541,83,1684,,,140,361,,
1989,188,,,,,,,,,,102,,,
1988,290,,,,,,,,,,302,,,
1987,638,,,,,,,,,,664,,,
1986,870,,,,,,,,,,625,,,
