Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2022 Strasbourg R32,L vs Tan,4.4,4.1,4.6,39.6%,35.5%,56.3%,14.3%,63.1%,47.8%,-8.0,-6.9,-0.5,-1.4
2022 Australian Open R64,L vs Pavlyuchenkova,3.5,3.9,3.1,43.3%,38.1%,42.9%,0.0%,53.3%,43.8%,-4.0,-5.7,-5.5,-15.3
2022 Australian Open R128,W vs Anderson,3.9,3.5,4.3,55.8%,52.6%,39.1%,47.4%,58.2%,61.7%,-8.5,-4.5,4.0,7.4
2021 Australian Open R64,L vs Pegula,4.0,3.8,4.2,38.9%,23.3%,33.3%,25.0%,56.5%,46.3%,-10.0,-15.2,-1.5,-5.6
2021 Australian Open R128,W vs Aiava,5.1,5.1,5.1,48.5%,68.6%,52.6%,45.0%,66.7%,59.8%,3.0,1.5,5.5,14.1
2019 Guangzhou F,L vs Kenin,3.7,3.4,4.1,51.7%,39.6%,37.5%,50.0%,50.7%,46.6%,-3.0,-2.1,-3.5,-4.5
2019 Guangzhou SF,W vs Golubic,3.7,3.5,3.8,50.9%,52.6%,57.1%,40.0%,56.6%,30.5%,7.0,4.2,-1.0,-1.1
2019 Fed Cup RR,L vs Sabalenka,3.0,3.3,2.7,50.0%,46.4%,43.8%,14.3%,47.3%,20.1%,14.0,11.7,-5.5,-5.0
2019 Australian Open R128,L vs Yastremska,2.9,2.9,3.0,44.3%,27.3%,66.7%,50.0%,67.0%,31.6%,4.0,5.6,2.5,9.6
2018 Brisbane R32,L vs Bouzkova,3.7,3.6,3.7,52.4%,29.3%,46.7%,54.5%,55.5%,46.7%,-1.5,-1.2,1.5,2.8
2018 US Open R128,L vs Wozniacki,4.1,3.8,4.4,39.4%,38.1%,55.6%,42.9%,76.1%,60.0%,-4.5,-3.2,1.5,8.8
2018 New Haven R32,L vs Sabalenka,2.8,3.1,2.5,43.2%,29.4%,45.5%,100.0%,66.4%,52.6%,0.5,0.7,-2.0,-11.8
2017 Madrid R16,L vs Halep,4.2,3.7,4.7,52.0%,37.9%,38.5%,47.1%,57.2%,37.5%,5.0,3.0,0.0,0.0
2017 Stuttgart R32,L vs Sevastova,3.6,4.2,3.0,48.5%,41.3%,55.6%,50.0%,54.8%,32.1%,2.0,1.6,1.0,1.4
2017 Miami R16,L vs Halep,4.4,4.4,4.4,51.5%,45.8%,39.1%,42.9%,65.5%,51.2%,-5.0,-2.1,-1.5,-2.5
2016 Roland Garros SF,L vs Muguruza,3.4,3.7,3.1,43.5%,40.9%,45.5%,33.3%,57.1%,35.0%,6.0,7.9,0.0,0.0
2016 Roland Garros R16,W vs Halep,5.3,5.0,5.5,56.9%,63.0%,65.4%,36.4%,48.8%,42.9%,30.5,17.3,5.5,5.2
2016 Madrid SF,L vs Halep,4.0,4.4,3.6,31.7%,15.8%,50.0%,40.0%,61.4%,46.9%,-5.5,-7.4,-3.0,-11.5
2016 Prague F,L vs Safarova,3.3,3.5,3.1,48.1%,47.2%,20.0%,44.4%,50.7%,42.0%,5.5,5.6,3.5,6.1
2016 Brisbane R16,L vs Suarez Navarro,3.4,3.3,3.6,43.4%,59.0%,37.5%,42.9%,57.0%,33.3%,7.0,5.6,-0.5,-0.8
Career (44 matches),,4.0,4.0,4.1,48.9%,46.6%,45.9%,43.7%,58.7%,39.6%,3.9,2.9,-0.8,-1.3
