Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,77.8%,0.0%,12.0%,4.0%,64.0%,87.5%,33.3%,68.0%,25.0%,44.5%,0.78,
2022,4,0,4,0.0%,1-8,11.1%,32-55,36.8%,1-0,100.0%,3,78.1%,0.0%,6.0%,5.6%,56.2%,74.0%,45.1%,61.4%,25.2%,44.4%,0.65,
2021,2,2,0,100.0%,4-1,80.0%,26-20,56.5%,0-0,-,2,91.7%,22.7%,17.6%,4.2%,59.7%,78.9%,66.7%,73.9%,37.8%,53.9%,1.45,
2019,27,8,19,29.6%,28-48,36.8%,350-422,45.3%,8-5,61.5%,25,77.9%,11.7%,12.9%,3.7%,57.4%,74.7%,49.5%,64.0%,31.1%,47.9%,0.86,QF (Antwerp)
2018,41,19,22,46.3%,49-50,49.5%,526-517,50.4%,14-11,56.0%,41,85.5%,14.9%,15.3%,3.9%,58.3%,77.5%,54.0%,67.7%,33.3%,50.4%,1.03,F (2x)
2017,23,8,15,34.8%,23-37,38.3%,292-331,46.9%,8-8,50.0%,23,81.5%,12.5%,11.9%,3.9%,56.3%,75.4%,51.5%,65.0%,31.8%,48.4%,0.91,QF (Metz)
2016,10,5,5,50.0%,17-13,56.7%,148-144,50.7%,3-1,75.0%,10,82.6%,16.0%,14.4%,3.9%,56.4%,74.5%,55.2%,66.1%,35.0%,50.3%,1.03,QF (Antwerp)
2015,12,6,6,50.0%,17-17,50.0%,179-177,50.3%,5-6,45.5%,8,84.3%,15.4%,15.2%,3.8%,55.2%,75.5%,53.7%,65.7%,33.0%,49.8%,0.96,QF (s Hertogenbosch)
2014,10,5,5,50.0%,12-11,52.2%,112-108,50.9%,1-2,33.3%,9,85.3%,12.4%,12.6%,3.1%,61.9%,71.3%,54.7%,64.9%,32.3%,48.4%,0.92,QF (Stockholm)
2013,12,5,7,41.7%,12-16,42.9%,140-151,48.1%,3-4,42.9%,9,82.1%,7.7%,14.7%,3.6%,56.5%,76.5%,48.7%,64.4%,29.6%,47.5%,0.83,QF (Brisbane)
2012,8,4,4,50.0%,11-11,50.0%,109-104,51.2%,1-2,33.3%,6,82.1%,18.2%,16.0%,2.7%,61.4%,77.2%,49.0%,66.3%,36.1%,51.1%,1.07,R16 (3x)
2011,4,1,3,25.0%,2-6,25.0%,36-44,45.0%,0-2,0.0%,3,78.6%,14.3%,14.2%,3.2%,57.4%,71.9%,51.5%,63.2%,34.6%,47.8%,0.94,R16 (Bucharest)
2010,1,0,1,0.0%,0-2,0.0%,10-13,43.5%,0-1,0.0%,1,63.6%,27.3%,4.7%,3.5%,50.0%,65.1%,39.5%,52.3%,37.1%,45.5%,0.78,R32 (Bucharest)
2009,3,2,1,66.7%,3-3,50.0%,30-29,50.8%,1-0,100.0%,2,80.0%,21.7%,9.0%,5.8%,48.7%,77.6%,47.5%,62.2%,41.5%,51.6%,1.10,R16 (Bucharest)
Career,158,65,93,41.1%,179-225,44.3%,1997-2127,48.4%,45-42,51.7%,143,82.3%,13.4%,13.6%,3.8%,57.5%,75.7%,51.9%,65.5%,32.6%,49.1%,0.95,
