Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 US Open R128,L vs Shevchenko,0.91,0.78,32.7,2.5,1.4%,52.2%,0.0%,57.8%,43.3%,33.3%
2024 Paris Olympics R16,L vs Djokovic,0.93,0.57,44.2,2.2,9.7%,58.1%,14.3%,60.7%,30.0%,19.2%
2024 Halle R16,L vs Fils,0.76,0.65,42.6,2.2,3.6%,60.7%,12.0%,64.0%,40.5%,23.5%
2024 Stuttgart R16,L vs Musetti,0.94,0.88,85.1,11.2,1.7%,63.3%,3.6%,69.6%,24.2%,40.0%
2023 Wimbledon R128,L vs Otte,0.81,0.76,38.9,2.8,3.6%,71.4%,2.0%,56.0%,30.0%,37.0%
2022 Wimbledon R128,L vs Galan,0.82,0.74,33.4,2.2,2.0%,56.9%,0.0%,66.7%,32.7%,36.0%
2021 Paris R16,L vs Hurkacz,1.03,0.79,56.4,9.4,1.9%,49.1%,4.3%,63.8%,29.8%,38.1%
2021 US Open R64,L vs Medvedev,1.01,0.52,25.9,2.1,0.0%,47.8%,2.3%,53.5%,21.9%,29.6%
2021 US Open R128,W vs Halys,1.15,1.12,53.2,4.1,5.9%,60.0%,6.2%,66.7%,35.4%,35.6%
2021 Wimbledon R32,L vs Bautista Agut,0.97,0.79,35.9,2.8,3.6%,41.8%,10.6%,57.4%,34.6%,48.9%
2021 Wimbledon R64,W vs Kwon,1.06,1.12,59.1,2.4,6.1%,59.6%,10.8%,64.5%,33.0%,47.7%
2021 Wimbledon R128,W vs Opelka,1.10,1.52,30.0,2.2,5.9%,72.5%,8.3%,75.0%,35.4%,37.5%
2021 Roland Garros R32,L vs Federer,0.89,0.87,50.9,3.3,5.8%,66.3%,8.0%,61.3%,25.0%,47.3%
2021 Roland Garros R64,W vs Fritz,1.23,1.35,32.6,2.2,3.2%,57.1%,6.8%,66.1%,42.4%,42.1%
2021 Roland Garros R128,W vs Bourgue,1.20,1.56,30.2,2.1,2.0%,60.8%,4.1%,69.4%,42.6%,48.8%
2021 Australian Open R64,L vs Thiem,0.96,0.46,25.1,2.3,2.6%,47.4%,0.0%,52.8%,27.8%,19.4%
2021 Australian Open R128,W vs Dellien,1.09,1.81,26.7,2.2,14.0%,69.8%,5.6%,80.6%,41.2%,42.9%
2020 Roland Garros R64,L vs Wawrinka,0.88,0.66,28.6,2.4,1.9%,46.3%,0.0%,68.8%,29.3%,35.8%
2020 Roland Garros R128,W vs Hoang,0.96,1.50,29.2,2.1,0.0%,61.7%,4.7%,72.1%,56.9%,46.5%
2020 Rome R16,W vs Musetti,1.32,2.04,37.0,2.1,3.7%,74.1%,8.0%,64.0%,54.2%,40.9%
2024 (4 matches),,0.89,0.75,52.8,2.9,3.2%,58.0%,5.2%,63.0%,34.7%,31.4%
2023 (1 matches),,0.81,0.76,38.9,2.8,3.6%,71.4%,2.0%,56.0%,30.0%,37.0%
2022 (1 matches),,0.82,0.74,33.4,2.2,2.0%,56.9%,0.0%,66.7%,32.7%,36.0%
2021 (11 matches),,1.06,1.03,42.0,2.6,4.8%,58.2%,6.7%,64.7%,33.7%,41.5%
2020 (5 matches),,0.97,0.94,35.4,2.4,4.5%,57.8%,4.4%,65.8%,35.2%,39.0%
Career (91 matches),,1.00,0.94,50.4,2.6,3.8%,59.2%,5.1%,62.1%,36.2%,38.2%
