Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Australian Open Q1,W vs Buse,34.7%,41.1%,52.8%,40.2%,45.3%,49.1%,51.7%,55.1%,45.5%,54.8%,66.7%,27.3%,39.4%,54.2%,118
2024 Olympics R16,L vs Djokovic,27.1%,37.3%,46.3%,34.4%,30.8%,43.6%,55.6%,41.8%,50.0%,52.6%,100.0%,22.2%,27.8%,28.6%,72
2024 Halle R16,L vs Fils,39.6%,49.1%,38.7%,43.6%,50.0%,59.4%,37.5%,56.6%,66.7%,35.0%,33.3%,25.0%,35.0%,40.0%,-7
2024 Stuttgart R16,L vs Musetti,26.7%,39.7%,57.5%,35.1%,32.4%,47.9%,58.3%,46.1%,32.1%,51.2%,50.0%,20.0%,30.0%,56.3%,77
2023 US Open R128,L vs Alcaraz,16.4%,34.5%,43.2%,25.6%,19.4%,44.4%,51.7%,33.6%,13.3%,71.4%,62.5%,11.8%,17.6%,26.7%,-2
2021 Paris R16,L vs Hurkacz,21.0%,30.0%,45.5%,27.5%,25.7%,35.1%,43.6%,34.5%,17.6%,50.0%,40.0%,8.3%,16.7%,50.0%,-33
2021 Roland Garros R32,L vs Federer,21.1%,31.1%,56.1%,26.5%,24.2%,34.7%,54.2%,33.3%,18.9%,43.1%,80.0%,17.7%,27.4%,58.8%,13
2020 Rome R16,W vs Musetti,25.0%,50.0%,60.5%,35.8%,33.3%,66.7%,60.0%,52.0%,20.0%,60.0%,100.0%,14.3%,28.6%,61.1%,-10
2020 Australian Open R128,L vs Martinez,21.2%,36.4%,51.3%,30.6%,26.4%,47.2%,58.5%,39.3%,22.6%,63.4%,66.7%,8.0%,8.0%,34.8%,-33
2019 Zhuhai R32,L vs Zhang,22.0%,37.3%,43.5%,30.8%,26.3%,47.4%,50.0%,40.0%,38.9%,45.0%,66.7%,14.3%,19.0%,33.3%,-79
2019 US Open R64,W vs Opelka,25.9%,33.6%,60.0%,32.3%,33.3%,46.4%,63.0%,44.2%,13.3%,28.2%,16.7%,17.1%,17.1%,55.9%,46
2019 Dallas CH QF,L vs Opelka,23.4%,27.4%,57.6%,27.4%,31.6%,36.8%,63.5%,38.2%,6.7%,26.1%,0.0%,13.2%,15.8%,48.5%,-3
2018 Houston CH QF,W vs Karlovic,20.8%,50.0%,71.1%,38.5%,22.2%,52.8%,78.6%,45.8%,23.5%,57.9%,-,16.7%,41.7%,50.0%,-79
2018 San Francisco CH F,L vs Jung,21.0%,37.0%,52.7%,31.2%,27.0%,46.0%,56.5%,43.2%,36.0%,47.4%,0.0%,12.5%,25.0%,46.4%,1
Career (14 matches),,24.4%,36.4%,53.4%,31.9%,30.0%,44.8%,56.3%,41.8%,26.3%,47.1%,52.1%,16.6%,24.5%,48.7%,48
