Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,3,1,2,33.3%,3-5,37.5%,38-45,45.8%,1-1,50.0%,3,72.5%,19.5%,4.8%,4.0%,60.8%,75.7%,42.9%,62.8%,33.1%,47.9%,0.89,R16 (Montpellier)
2024,32,14,18,43.8%,34-46,42.5%,383-416,47.9%,6-11,35.3%,32,77.6%,19.6%,5.5%,3.9%,62.0%,68.1%,51.5%,61.8%,35.9%,48.8%,0.94,QF (3x)
2023,13,7,6,53.8%,16-15,51.6%,151-159,48.7%,5-2,71.4%,13,77.1%,19.9%,6.6%,4.0%,62.8%,71.4%,54.6%,65.2%,36.3%,50.4%,1.04,SF (Los Cabos)
2022,12,3,9,25.0%,10-23,30.3%,151-184,45.1%,3-2,60.0%,12,69.9%,20.8%,3.6%,4.4%,66.2%,63.5%,52.8%,59.9%,36.1%,48.0%,0.90,R32 (5x)
2021,48,22,26,45.8%,58-70,45.3%,608-669,47.6%,11-10,52.4%,45,73.4%,21.0%,4.9%,4.7%,61.4%,66.8%,50.0%,60.3%,36.7%,48.7%,0.93,SF (Acapulco)
2020,13,7,6,53.8%,19-18,51.4%,172-164,51.2%,3-0,100.0%,13,71.3%,30.5%,4.7%,3.3%,64.9%,65.1%,48.6%,59.3%,41.7%,50.6%,1.02,QF (Rome Masters)
2019,8,4,4,50.0%,13-13,50.0%,129-134,49.0%,4-1,80.0%,8,77.1%,19.1%,6.1%,4.2%,59.6%,71.4%,44.7%,60.6%,37.1%,49.4%,0.94,R16 (US Open)
2018,3,1,2,33.3%,2-4,33.3%,32-34,48.5%,1-2,33.3%,3,87.1%,12.5%,3.9%,2.4%,57.0%,75.4%,50.6%,64.7%,33.3%,49.0%,0.95,R16 (Winston-Salem)
2017,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,42.9%,0.0%,0.0%,6.8%,59.1%,50.0%,44.4%,47.7%,30.0%,38.3%,0.57,R64 (Winston-Salem)
Career,133,59,74,44.4%,155-196,44.2%,1667-1817,47.8%,34-29,54.0%,130,74.5%,21.0%,5.1%,4.2%,62.2%,67.7%,50.2%,61.1%,36.8%,49.0%,0.94,
