Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2025,509,83,138,1643,111,1631,,,,,,,,
2024,102,610,68,1754,65,1716,54,1723,81,1603,86,990,,
2023,77,733,92,1702,99,1643,54,1722,85,1589,,,,
2022,199,279,106,1690,93,1654,,,100,1568,,,,
2021,54,1101,75,1734,82,1664,67,1700,60,1645,,,,
2020,66,921,60,1755,80,1662,78,1662,,,386,119,,
2019,94,592,81,1731,86,1682,165,1520,51,1671,314,164,,
2018,161,331,170,1577,155,1549,237,1448,166,1478,475,40,,
2017,305,162,291,1418,288,1375,285,1360,,,392,138,,
2016,514,70,,,,,,,,,674,72,,
2015,1784,1,,,,,,,,,,,,
