Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),152,391,144,1642,161,1576,107,1633,66,1632,,,,
2025,122,501,98,1707,107,1637,82,1679,52,1664,,,,
2024,35,1370,63,1760,85,1689,37,1756,60,1642,343,180,,
2023,19,1810,20,1876,31,1784,16,1838,31,1716,,,,
2022,152,370,139,1639,166,1545,100,1635,,,,,,
2021,146,460,139,1636,165,1539,102,1640,,,,,,
2019,77,695,110,1686,152,1556,55,1717,104,1590,69,1110,58,1693
2018,43,1022,69,1749,110,1626,46,1747,83,1605,50,1515,38,1742
2017,111,541,169,1578,216,1467,129,1579,120,1533,180,374,,
2016,330,144,347,1309,357,1240,313,1313,,,212,356,,
2015,372,118,318,1383,360,1256,244,1422,244,1358,583,95,,
2014,222,220,232,1493,,,199,1480,,,162,465,,
2013,830,19,,,,,,,,,698,62,,
2012,1683,1,,,,,,,,,977,24,,
