Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Wimbledon R128,W vs Rune,2.7,2.3,3.2,52.8%,56.5%,37.5%,66.7%,48.1%,16.0%,2.0,1.5,0.5,0.4
2025 Roland Garros R128,L vs Fils,3.3,3.5,3.0,44.4%,41.9%,57.7%,50.0%,51.3%,10.7%,-4.5,-2.8,-8.5,-5.7
2025 Buenos Aires R32,L vs Schwartzman,3.9,3.8,3.9,50.4%,58.5%,52.6%,29.4%,50.9%,8.7%,2.0,1.2,-0.5,-0.3
2025 Australian Open R128,L vs Sinner,3.2,3.2,3.1,43.4%,38.5%,62.5%,50.0%,55.5%,10.0%,-3.5,-2.7,-9.5,-9.7
2025 Brisbane QF,L vs Lehecka,2.9,3.1,2.7,47.2%,46.7%,75.0%,20.0%,46.3%,23.6%,1.5,2.7,1.5,2.7
2024 Paris R32,L vs Alcaraz,2.7,2.8,2.6,38.4%,51.9%,100.0%,50.0%,53.4%,20.0%,-1.5,-2.7,-2.0,-4.5
2024 Beijing R32,L vs Sinner,3.1,3.0,3.1,45.0%,44.4%,16.7%,20.0%,54.9%,12.2%,-14.0,-15.9,-14.0,-21.9
2024 Chengdu QF,L vs Kachmazov,2.6,2.6,2.6,48.8%,22.7%,33.3%,0.0%,55.3%,15.2%,-2.0,-3.7,-5.0,-12.8
2024 Rome F,L vs Zverev,3.9,4.3,3.2,43.6%,36.4%,40.0%,45.5%,52.9%,19.1%,-2.0,-2.1,-8.5,-12.0
2024 Rome SF,W vs Paul,3.7,3.7,3.7,51.6%,43.2%,45.8%,70.0%,53.0%,17.9%,13.5,9.1,-1.5,-1.3
2024 Rome QF,W vs Tsitsipas,3.4,3.6,3.3,48.9%,54.5%,73.3%,33.3%,53.6%,10.2%,14.5,10.5,-10.0,-8.8
2024 Rome R16,W vs Muller,3.8,3.1,4.3,55.1%,63.6%,43.8%,57.1%,51.5%,16.2%,11.5,12.9,0.5,0.6
2024 Miami QF,L vs Medvedev,4.2,4.6,3.9,47.9%,33.3%,29.4%,69.2%,45.2%,19.3%,-4.0,-4.7,-6.5,-6.8
2024 Miami R16,W vs Ruud,4.0,4.6,3.4,52.3%,66.7%,68.8%,61.5%,59.8%,8.3%,17.0,14.8,6.0,7.8
2024 Buenos Aires F,L vs Diaz Acosta,3.9,3.7,4.0,41.1%,51.7%,42.9%,50.0%,50.3%,3.1%,6.5,6.8,-13.5,-14.2
2024 Buenos Aires SF,W vs Alcaraz,3.1,3.0,3.2,53.6%,37.9%,40.0%,83.3%,49.0%,8.8%,5.0,7.1,-5.0,-6.8
2023 Paris R32,L vs Bublik,2.9,3.0,2.8,48.2%,50.0%,41.2%,75.0%,52.1%,28.4%,9.0,11.0,-3.0,-5.3
2023 Basel R16,L vs Humbert,3.5,3.4,3.6,52.5%,29.0%,52.6%,28.6%,42.3%,16.1%,-2.5,-3.0,0.0,0.0
2023 Shanghai QF,L vs Dimitrov,3.0,2.8,3.2,52.2%,15.8%,50.0%,80.0%,55.2%,20.3%,4.0,5.3,-6.0,-12.0
2023 Shanghai R32,W vs Sonego,3.4,3.2,3.5,51.2%,56.5%,50.0%,90.0%,65.4%,8.9%,14.5,14.6,0.5,1.0
Career (64 matches),,3.3,3.3,3.3,49.8%,50.2%,49.2%,54.1%,53.8%,13.0%,5.8,5.6,-2.6,-3.2
