Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,18,8,10,44.4%,10,5,5,50.0%,2003,2014,R32,12,0.98,7.5%,3.4%,55.7%,69.4%,48.3%,60.0%,39.1%,62.8%,35.7%
Roland Garros,12,Clay,27,14,13,51.9%,11,7,4,63.6%,2003,2014,R32,20,0.93,6.0%,2.9%,55.8%,70.3%,49.1%,60.9%,36.4%,60.6%,49.2%
Wimbledon,9,Grass,22,12,10,54.5%,10,4,6,40.0%,2005,2014,R32,9,0.88,7.8%,2.9%,61.3%,71.6%,51.3%,63.8%,32.0%,59.0%,32.8%
US Open,11,Hard,22,11,11,50.0%,7,4,3,57.1%,2004,2014,R16,18,0.98,7.9%,4.3%,53.6%,74.0%,48.2%,62.0%,37.0%,60.4%,39.2%
Metz,7,Hard,18,11,7,61.1%,7,3,4,42.9%,2004,2013,SF,18,1.06,10.2%,2.8%,56.0%,75.3%,53.5%,65.7%,36.3%,57.0%,32.2%
Casablanca,6,Clay,18,12,6,66.7%,1,1,0,100.0%,2005,2013,SF,18,1.06,8.0%,2.5%,56.5%,70.5%,50.0%,61.6%,40.6%,57.7%,53.2%
Marseille,6,Hard,8,2,6,25.0%,6,2,4,33.3%,2002,2012,R16,7,0.82,6.9%,3.6%,52.0%,69.6%,48.1%,59.3%,33.2%,67.2%,50.0%
Lyon,5,Hard,17,12,5,70.6%,6,4,2,66.7%,2005,2009,F,17,1.15,11.6%,1.6%,65.0%,76.3%,53.1%,68.1%,36.7%,62.9%,36.0%
Miami Masters,5,Hard,7,2,5,28.6%,3,1,2,33.3%,2007,2013,R128,7,0.89,6.7%,4.0%,53.0%,69.2%,42.1%,56.5%,38.6%,59.7%,38.8%
Paris Masters,5,Hard,7,2,5,28.6%,4,1,3,25.0%,2006,2013,R64,5,0.84,11.0%,5.6%,47.1%,69.9%,54.5%,61.8%,32.0%,57.1%,30.4%
