Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2000 Monte Carlo F,W vs Hrbaty,4.3,3.8,4.8,58.0%,53.2%,37.9%,53.8%,48.8%,37.7%,2.0,1.1,-1.0,-0.8
2000 Monte Carlo SF,W vs Alami,4.1,3.8,4.4,58.0%,67.6%,55.6%,42.9%,47.6%,23.7%,5.0,7.4,9.0,16.4
2000 Rotterdam F,W vs Henman,3.1,3.1,3.1,50.3%,53.7%,60.0%,37.5%,55.8%,28.7%,-1.0,-0.9,7.0,11.7
1999 US Open QF,W vs Kuerten,3.4,3.7,3.1,43.2%,68.1%,64.0%,53.3%,47.8%,31.0%,13.5,7.4,-4.0,-2.9
1999 US Open SF,L vs Martin,2.8,3.4,2.3,40.2%,35.9%,100.0%,75.0%,40.5%,49.5%,-0.5,-0.8,-8.0,-18.2
1998 Roland Garros SF,L vs Corretja,5.1,4.5,5.8,50.0%,40.6%,34.6%,41.4%,34.1%,19.6%,-0.5,-0.4,-1.0,-0.5
1998 Roland Garros R16,W vs Safin,4.7,4.8,4.7,50.0%,71.9%,50.0%,41.9%,45.8%,27.4%,6.5,2.5,7.0,3.0
1998 Monte Carlo F,L vs Moya,6.6,6.7,6.4,33.3%,36.2%,45.8%,48.7%,51.9%,21.3%,-4.0,-1.6,-8.5,-4.8
1998 Monte Carlo SF,W vs Berasategui,4.7,3.9,5.8,52.9%,29.7%,48.1%,59.1%,31.8%,15.2%,-9.5,-9.4,-3.5,-1.9
1997 Wimbledon F,L vs Sampras,2.0,2.1,1.9,43.3%,29.4%,66.7%,-,37.3%,9.4%,0.0,0.0,3.5,13.5
1997 Wimbledon SF,W vs Stich,2.3,2.5,2.2,50.4%,70.6%,66.7%,0.0%,39.6%,23.0%,12.0,21.8,5.5,8.5
1996 Monte Carlo SF,L vs Muster,7.2,6.8,7.5,31.7%,55.2%,38.5%,37.9%,35.7%,16.1%,-7.5,-5.7,-4.5,-2.3
1996 Marseille F,L vs Forget,3.8,3.9,3.6,46.5%,52.9%,37.5%,36.4%,49.8%,38.8%,-1.0,-1.0,0.5,0.8
1993 US Open F,L vs Sampras,3.8,4.5,2.8,46.4%,41.9%,44.4%,30.0%,43.3%,21.7%,1.0,1.0,-14.5,-13.1
1993 US Open SF,W vs Masur,4.0,3.6,4.3,56.1%,54.7%,50.0%,52.6%,48.7%,20.3%,6.0,3.4,6.5,4.5
1993 Wimbledon QF,L vs Edberg,2.1,2.0,2.2,45.3%,51.5%,-,-,38.5%,8.3%,9.5,33.9,4.0,9.5
1993 Monte Carlo F,L vs Bruguera,7.4,7.1,7.9,44.0%,45.5%,30.8%,33.3%,42.8%,24.8%,-11.5,-6.8,-9.5,-5.6
1993 Monte Carlo SF,W vs Edberg,4.9,6.2,3.8,51.9%,61.3%,72.2%,53.8%,42.3%,13.7%,10.0,10.2,12.5,10.8
Career (18 matches),,4.0,4.0,4.0,48.1%,53.4%,49.3%,44.3%,44.0%,24.1%,1.7,1.3,0.1,0.0
