Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,272,151,121,55.5%,394-329,54.5%,3633-3465,51.2%,64-56,53.3%,257,79.2%,23.0%,7.5%,4.5%,56.2%,74.1%,49.8%,63.5%,37.9%,50.6%,1.04
Clay,220,118,102,53.6%,308-267,53.6%,2819-2684,51.2%,40-38,51.3%,189,73.7%,28.9%,5.0%,3.8%,57.8%,69.0%,48.8%,60.5%,40.8%,50.7%,1.03
Grass,77,46,31,59.7%,127-96,57.0%,1190-1090,52.2%,21-14,60.0%,72,84.9%,19.7%,7.5%,6.5%,58.1%,77.7%,48.3%,65.4%,36.7%,51.0%,1.06
Carpet,139,75,64,54.0%,185-155,54.4%,1769-1672,51.4%,35-31,53.0%,116,83.8%,19.4%,8.7%,4.0%,57.9%,76.4%,50.6%,65.5%,35.8%,50.7%,1.04
Grand Slams,124,77,47,62.1%,261-199,56.7%,2359-2164,52.2%,37-25,59.7%,115,80.8%,23.7%,6.8%,4.4%,58.8%,75.3%,47.0%,63.7%,38.6%,51.2%,1.06
Masters,143,74,69,51.7%,175-159,52.4%,1633-1589,50.7%,21-21,50.0%,138,75.6%,25.8%,6.5%,4.5%,55.3%,71.0%,50.0%,61.6%,39.6%,50.5%,1.03
Other Tours,412,221,191,53.6%,516-455,53.1%,4911-4713,51.0%,94-90,51.1%,381,79.6%,22.9%,7.2%,4.5%,57.0%,73.4%,50.5%,63.5%,37.5%,50.5%,1.03
Best of 5,148,93,55,62.8%,319-228,58.3%,2825-2568,52.4%,47-27,63.5%,117,80.5%,23.8%,6.8%,4.4%,58.7%,75.2%,47.0%,63.5%,38.7%,51.2%,1.06
Best of 3,560,297,263,53.0%,695-619,52.9%,6586-6343,50.9%,113-112,50.2%,517,78.7%,23.6%,7.0%,4.5%,56.6%,72.8%,50.4%,63.1%,38.0%,50.5%,1.03
Finals,17,5,12,29.4%,15-29,34.1%,200-245,44.9%,5-4,55.6%,16,68.5%,19.8%,6.9%,4.4%,57.3%,68.3%,44.7%,58.2%,34.6%,47.0%,0.83
Semi-finals,36,17,19,47.2%,42-48,46.7%,424-441,49.0%,7-9,43.8%,34,77.9%,19.8%,6.6%,3.4%,57.2%,70.6%,51.4%,62.4%,35.8%,49.4%,0.95
Quarter-finals,78,36,42,46.2%,96-107,47.3%,993-1033,49.0%,20-17,54.1%,76,77.7%,19.9%,6.7%,4.1%,57.6%,73.1%,47.3%,62.2%,36.0%,49.2%,0.95
vs Righties,579,320,259,55.3%,831-698,54.3%,7717-7314,51.3%,126-116,52.1%,517,78.8%,24.0%,7.0%,4.5%,56.9%,73.6%,49.3%,63.1%,38.4%,50.7%,1.04
vs Lefties,129,70,59,54.3%,183-149,55.1%,1694-1597,51.5%,34-23,59.6%,117,80.5%,22.2%,7.0%,4.5%,58.5%,73.3%,50.0%,63.6%,37.6%,50.7%,1.03
vs Top 10,94,26,68,27.7%,86-161,34.8%,1105-1335,45.3%,19-22,46.3%,82,74.6%,16.3%,6.3%,4.1%,57.6%,72.1%,46.0%,61.0%,33.5%,47.6%,0.86
