Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Australian Open R32,L vs Swiatek,0.0%,-,3.7%,60.0%,15.1%,23.1%,0.0%,9.0%,45.5%,0.0%,-,19,19
2025 Hong Kong R16,W vs Zhang,0.0%,-,2.4%,100.0%,15.4%,25.0%,0.0%,20.0%,60.0%,0.0%,-,47,79
2025 Tokyo R16,W vs Shnaider,0.0%,-,6.8%,80.0%,13.3%,24.1%,8.0%,19.2%,40.9%,3.3%,28.6%,5,-21
2025 US Open R128,W vs Ngounoue,0.0%,-,5.6%,50.0%,25.9%,26.7%,0.0%,8.3%,20.0%,0.4%,0.0%,59,67
2025 Cincinnati QF,L vs Swiatek,0.0%,-,3.4%,50.0%,14.0%,17.6%,0.0%,8.0%,20.0%,2.7%,25.0%,63,69
2025 Cincinnati R32,W vs Anisimova,0.0%,-,0.7%,0.0%,18.6%,60.0%,0.0%,4.7%,10.0%,1.4%,0.0%,-14,47
2025 Washington F,L vs Fernandez,0.0%,-,3.2%,100.0%,17.6%,14.3%,0.0%,7.9%,10.0%,0.0%,-,3,-7
2025 Washington SF,W vs Raducanu,0.0%,-,7.0%,88.9%,28.2%,42.1%,0.0%,21.3%,55.6%,0.0%,-,117,72
2025 Washington QF,W vs Tauson,0.0%,-,11.1%,93.3%,24.5%,35.0%,0.0%,31.7%,50.0%,0.0%,-,178,163
2025 Washington R16,W vs Linette,0.0%,-,7.3%,87.5%,30.4%,42.1%,0.0%,27.7%,50.0%,0.0%,-,144,125
2025 Wimbledon R64,L vs Tauson,0.0%,-,10.5%,60.0%,27.7%,40.0%,0.0%,22.0%,40.0%,0.0%,-,146,111
2025 Charleston QF,L vs Kenin,0.0%,-,8.3%,33.3%,9.7%,40.0%,0.0%,17.2%,14.3%,3.7%,50.0%,-33,25
2025 Charleston R16,W vs Keys,0.0%,-,8.5%,50.0%,17.2%,20.8%,0.0%,28.6%,40.0%,2.5%,50.0%,2,55
2025 Indian Wells R128,L vs Parks,0.0%,-,4.8%,42.9%,15.1%,37.5%,0.0%,9.8%,40.0%,1.3%,0.0%,42,59
2024 Beijing R16,L vs Starodubtseva,0.0%,-,4.7%,66.7%,5.0%,11.5%,0.0%,4.2%,20.0%,2.1%,40.0%,-56,-29
2024 Wimbledon R16,L vs Rybakina,0.0%,-,1.3%,100.0%,8.8%,33.3%,0.0%,14.3%,16.7%,0.0%,-,-38,-31
2024 Wimbledon R32,W vs Samsonova,0.0%,-,3.2%,75.0%,15.6%,23.1%,0.0%,17.5%,28.6%,0.0%,-,-2,43
2024 Wimbledon R64,W vs Bouzkova,0.0%,-,9.7%,63.6%,28.6%,45.5%,0.0%,23.2%,42.1%,3.7%,28.6%,151,117
2024 Wimbledon R128,W vs Udvardy,0.0%,-,9.5%,80.0%,39.5%,50.0%,0.0%,14.7%,40.0%,1.8%,50.0%,157,160
2024 Berlin F,L vs Pegula,0.0%,-,7.4%,76.5%,20.6%,25.6%,50.0%,16.8%,34.8%,2.0%,71.4%,94,47
Last 52 Weeks (13 matches),,0.0%,-,6.2%,68.9%,19.8%,31.0%,6.7%,16.8%,35.0%,1.3%,31.0%,53,54
Career (45 matches),,0.1%,100.0%,6.0%,68.8%,16.5%,25.6%,16.3%,12.4%,35.9%,1.1%,32.7%,10,13
