Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Australian Open R32,L vs Swiatek,23.5%,30.9%,38.0%,22.9%,29.2%,32.4%,52.2%,20.0%,20.0%,27.8%,38.9%,53.8%,0.0%,66.7%,100.0%,17
2025 Hong Kong R16,W vs Zhang,31.3%,39.6%,50.0%,37.1%,45.7%,54.5%,53.3%,50.0%,100.0%,20.0%,30.0%,37.5%,0.0%,25.0%,0.0%,58
2025 Tokyo R16,W vs Shnaider,15.9%,27.4%,48.9%,17.3%,27.2%,55.2%,42.5%,39.0%,16.7%,12.9%,29.0%,33.3%,87.5%,13.0%,0.0%,-66
2025 US Open R128,W vs Ngounoue,26.3%,36.4%,52.2%,29.2%,43.1%,58.7%,37.9%,55.6%,33.3%,25.0%,28.6%,38.1%,0.0%,42.9%,100.0%,109
2025 Cincinnati QF,L vs Swiatek,25.4%,30.2%,45.2%,32.4%,38.2%,43.5%,21.1%,26.7%,25.0%,20.8%,25.0%,47.4%,20.0%,42.9%,25.0%,80
2025 Cincinnati R32,W vs Anisimova,32.9%,38.2%,50.0%,32.7%,38.8%,51.5%,73.1%,21.7%,33.3%,40.9%,45.5%,46.2%,0.0%,18.2%,33.3%,119
2025 Washington F,L vs Fernandez,21.1%,26.3%,35.7%,26.9%,34.6%,47.4%,41.7%,57.1%,0.0%,10.0%,10.0%,11.1%,100.0%,0.0%,0.0%,-23
2025 Washington SF,W vs Raducanu,10.9%,29.7%,61.5%,10.8%,35.1%,63.6%,29.4%,30.0%,25.0%,13.6%,27.3%,57.9%,0.0%,70.0%,100.0%,9
2025 Washington QF,W vs Tauson,29.5%,44.3%,51.4%,38.5%,53.8%,50.0%,53.3%,54.2%,33.3%,18.8%,37.5%,53.8%,0.0%,80.0%,100.0%,38
2025 Washington R16,W vs Linette,32.6%,55.8%,70.4%,30.0%,60.0%,76.2%,30.8%,64.7%,-,45.5%,54.5%,50.0%,0.0%,100.0%,100.0%,82
2025 Wimbledon R64,L vs Tauson,26.0%,40.3%,49.1%,28.3%,43.4%,50.0%,72.7%,54.8%,50.0%,25.0%,40.0%,46.7%,16.7%,64.3%,100.0%,97
2025 Charleston QF,L vs Kenin,35.0%,43.3%,35.1%,38.5%,46.2%,33.3%,71.4%,52.0%,20.0%,31.6%,42.1%,38.5%,30.8%,50.0%,0.0%,11
2025 Charleston R16,W vs Keys,36.2%,41.4%,50.0%,38.6%,43.2%,48.1%,17.4%,76.2%,66.7%,30.8%,38.5%,55.6%,0.0%,87.5%,100.0%,-18
2025 Indian Wells R128,L vs Parks,29.3%,36.6%,31.5%,31.7%,40.0%,34.1%,37.9%,48.4%,50.0%,27.8%,33.3%,23.1%,14.3%,36.4%,0.0%,115
2024 Beijing R16,L vs Starodubtseva,21.0%,22.6%,39.5%,36.4%,39.4%,38.1%,60.0%,66.7%,66.7%,4.3%,4.3%,40.9%,16.7%,90.9%,100.0%,-79
2024 Wimbledon R16,L vs Rybakina,17.1%,25.7%,28.6%,24.0%,32.0%,21.1%,46.2%,50.0%,100.0%,0.0%,11.1%,44.4%,33.3%,50.0%,50.0%,-119
2024 Wimbledon R32,W vs Samsonova,37.3%,47.5%,58.3%,36.4%,47.7%,57.1%,58.8%,37.0%,0.0%,42.9%,50.0%,62.5%,33.3%,75.0%,-,-23
2024 Wimbledon R64,W vs Bouzkova,17.2%,37.9%,60.0%,21.9%,43.8%,60.0%,71.4%,16.7%,0.0%,13.0%,34.8%,60.0%,54.5%,50.0%,0.0%,14
2024 Wimbledon R128,W vs Udvardy,33.3%,49.1%,61.8%,37.8%,56.8%,69.6%,68.4%,50.0%,33.3%,31.3%,43.8%,45.5%,66.7%,40.0%,100.0%,137
2024 Berlin F,L vs Pegula,17.4%,28.7%,48.4%,12.9%,28.2%,51.4%,56.8%,37.5%,75.0%,32.1%,32.1%,36.8%,61.5%,46.7%,100.0%,-23
Last 52 Weeks (13 matches),,25.9%,36.4%,49.1%,28.6%,40.2%,51.4%,45.9%,46.2%,31.1%,24.2%,34.0%,43.8%,16.5%,46.5%,52.2%,80
Career (45 matches),,22.0%,32.3%,48.2%,24.4%,36.3%,50.3%,44.1%,44.3%,42.0%,19.8%,27.8%,43.5%,15.2%,59.3%,66.7%,56
