Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Australian Open R32,L vs Swiatek,72.1%,46.9%,2.9%,1/1,2.34,0.0%,73.2%,46.7%,4.9%,2.30,0.0%,82.6%,47.4%,0.0%,2.45,0.0%
2025 Hong Kong R16,W vs Zhang,75.7%,82.1%,13.5%,2/3,2.89,6.7%,80.0%,85.0%,16.0%,2.99,9.1%,80.0%,75.0%,10.0%,2.60,0.0%
2025 Tokyo R16,W vs Shnaider,73.4%,48.8%,4.6%,2/3,2.51,10.6%,71.8%,46.4%,2.6%,2.52,13.4%,92.3%,54.2%,11.5%,2.51,3.7%
2025 US Open R128,W vs Ngounoue,73.1%,50.9%,6.4%,0/5,2.48,10.4%,77.4%,48.8%,3.8%,2.43,13.0%,80.0%,56.3%,15.0%,2.59,4.8%
2025 Cincinnati QF,L vs Swiatek,56.6%,36.7%,5.7%,0/3,2.35,4.8%,50.0%,33.3%,0.0%,2.51,8.7%,75.0%,40.0%,15.0%,2.15,0.0%
2025 Cincinnati R32,W vs Anisimova,63.9%,53.8%,9.8%,4/2,2.40,4.3%,64.5%,40.0%,19.4%,2.25,6.1%,76.0%,68.4%,0.0%,2.76,0.0%
2025 Washington F,L vs Fernandez,58.9%,42.4%,12.5%,1/6,2.60,7.1%,62.5%,40.0%,7.5%,2.75,10.5%,66.7%,50.0%,33.3%,2.27,0.0%
2025 Washington SF,W vs Raducanu,68.8%,56.8%,6.3%,1/3,2.41,25.0%,67.5%,48.1%,7.5%,2.29,36.4%,85.0%,70.6%,5.0%,2.61,5.3%
2025 Washington QF,W vs Tauson,63.5%,70.2%,6.8%,2/3,2.18,27.0%,66.0%,71.0%,4.3%,2.03,37.5%,72.7%,68.8%,13.6%,2.45,7.7%
2025 Washington R16,W vs Linette,68.2%,66.7%,1.5%,1/0,2.39,14.8%,62.9%,59.1%,2.9%,2.50,19.0%,79.3%,73.9%,0.0%,2.00,0.0%
2025 Wimbledon R64,L vs Tauson,59.1%,56.4%,9.1%,3/3,2.54,22.6%,54.8%,47.8%,9.5%,2.58,26.3%,69.6%,68.8%,8.7%,2.43,13.3%
2025 Charleston QF,L vs Kenin,63.3%,35.5%,16.3%,4/4,2.50,5.4%,65.6%,28.6%,15.6%,2.55,8.3%,71.4%,50.0%,21.4%,2.40,0.0%
2025 Charleston R16,W vs Keys,79.7%,59.6%,6.8%,4/0,2.37,2.8%,85.0%,61.8%,5.0%,2.41,3.7%,68.4%,53.8%,10.5%,2.27,0.0%
2025 Indian Wells R128,L vs Parks,71.4%,46.7%,9.5%,4/2,2.39,5.6%,69.2%,44.4%,12.8%,2.51,7.3%,85.7%,50.0%,4.8%,2.03,0.0%
2024 Beijing R16,L vs Starodubtseva,75.4%,46.9%,6.2%,3/1,2.68,2.3%,71.8%,50.0%,5.1%,2.63,4.8%,87.5%,42.9%,8.3%,2.73,0.0%
2024 Wimbledon R16,L vs Rybakina,61.0%,60.0%,7.3%,2/1,2.46,7.1%,38.1%,37.5%,14.3%,2.56,10.5%,89.5%,70.6%,0.0%,2.27,0.0%
2024 Wimbledon R32,W vs Samsonova,59.7%,60.0%,7.5%,2/3,2.52,2.8%,36.0%,33.3%,16.0%,2.49,3.6%,81.6%,67.7%,2.6%,2.64,0.0%
2024 Wimbledon R64,W vs Bouzkova,78.2%,58.1%,3.6%,2/0,2.12,2.2%,78.1%,56.0%,3.1%,2.13,4.0%,85.7%,61.1%,4.8%,2.11,0.0%
2024 Wimbledon R128,W vs Udvardy,60.4%,62.1%,4.2%,1/1,2.62,20.6%,57.1%,43.8%,3.6%,2.33,30.4%,76.5%,84.6%,5.9%,3.24,0.0%
2024 Berlin F,L vs Pegula,70.2%,57.5%,6.1%,6/1,2.67,12.9%,64.3%,53.3%,7.1%,2.70,16.2%,83.3%,62.9%,4.8%,2.56,0.0%
Last 52 Weeks (13 matches),,67.7%,54.3%,7.3%,41.0%,2.45,11.2%,68.4%,51.0%,6.7%,2.46,14.8%,77.6%,60.3%,9.5%,2.45,3.2%
Career (45 matches),,71.2%,52.1%,6.5%,43.7%,2.48,8.4%,70.4%,48.0%,6.0%,2.46,11.4%,82.0%,58.5%,8.2%,2.51,1.5%
