Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2019-10-21),1219,4,,,,,,,,,1016,18,,
2018,,,,,,,,,,,681,48,,
2017,864,16,,,,,,,,,609,60,,
2016,602,40,,,,,,,,,473,94,,
2015,520,52,,,,,,,,,450,97,,
2014,485,56,,,,,,,,,590,52,,
2013,1006,11,,,,,,,,,878,24,,
