Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Dubai QF,L vs Medvedev,19.6%,21.7%,34.3%,22.0%,22.2%,25.0%,32.1%,25.3%,63.2%,64.7%,83.3%,12.5%,12.5%,42.9%,-8
2026 Australian Open R128,L vs Bublik,29.9%,36.1%,42.4%,34.9%,35.0%,43.3%,43.6%,43.2%,32.1%,40.6%,25.0%,22.9%,25.7%,40.7%,-37
2025 Tokyo SF,L vs Fritz,24.1%,34.5%,53.5%,30.5%,25.0%,37.5%,53.3%,34.3%,47.6%,63.2%,100.0%,23.5%,29.4%,53.8%,5
2025 Washington R64,L vs Nishioka,20.2%,29.8%,42.3%,26.3%,29.6%,46.3%,47.4%,41.3%,45.2%,34.8%,100.0%,11.1%,13.3%,37.5%,-8
2025 Wimbledon R64,L vs Fonseca,16.0%,26.4%,50.4%,22.5%,17.7%,32.3%,51.9%,27.5%,43.1%,51.1%,71.4%,13.0%,15.2%,47.5%,-16
2025 Eastbourne F,L vs Fritz,17.6%,29.4%,42.9%,27.1%,16.7%,33.3%,43.3%,30.0%,64.7%,31.6%,50.0%,20.0%,20.0%,41.7%,-79
2025 Houston F,W vs Tiafoe,31.0%,36.2%,51.3%,33.6%,34.1%,41.5%,44.4%,37.8%,57.1%,40.0%,50.0%,25.0%,25.0%,66.7%,10
2025 Houston SF,W vs Paul,16.5%,23.9%,51.7%,22.4%,17.6%,28.4%,54.1%,26.2%,31.4%,30.8%,40.0%,15.2%,15.2%,46.4%,7
2025 Australian Open R128,L vs Fritz,12.5%,18.8%,42.4%,19.4%,14.9%,25.5%,60.0%,26.6%,61.5%,19.0%,50.0%,10.3%,10.3%,15.4%,-18
2023 Australian Open R64,W vs Ruud,14.0%,21.0%,55.4%,18.9%,17.3%,27.2%,55.2%,25.9%,45.2%,46.2%,66.7%,10.0%,13.3%,55.6%,-30
2022 Seoul SF,L vs Shapovalov,20.7%,25.9%,52.2%,22.4%,21.9%,28.1%,60.0%,25.0%,38.5%,52.6%,0.0%,19.2%,23.1%,42.9%,-79
2022 Seoul R16,W vs Kwon,26.2%,36.9%,58.3%,30.0%,31.1%,42.2%,58.1%,36.7%,42.9%,54.2%,50.0%,15.0%,25.0%,58.8%,-79
2022 Seoul R32,W vs Wu,28.6%,40.2%,48.1%,35.6%,34.2%,48.7%,58.0%,44.6%,44.4%,47.5%,60.0%,17.1%,22.9%,31.0%,-37
2022 San Diego R16,W vs Mcdonald,24.7%,32.5%,58.9%,32.5%,27.5%,39.2%,70.3%,39.2%,46.2%,60.0%,100.0%,20.8%,20.8%,36.8%,37
2022 US Open R32,L vs Alcaraz,21.5%,22.6%,37.1%,22.7%,28.6%,30.2%,44.4%,30.3%,44.8%,35.3%,0.0%,7.4%,7.4%,24.0%,-45
2022 Cincinnati R64,L vs Paul,17.0%,27.7%,51.4%,20.2%,23.1%,34.6%,55.0%,28.8%,38.5%,69.2%,100.0%,10.5%,21.1%,47.1%,-13
2022 Canada R32,L vs Bautista Agut,13.5%,23.1%,40.5%,17.3%,16.7%,30.0%,36.0%,23.3%,23.5%,61.5%,40.0%,10.5%,15.8%,47.1%,-18
2022 Atlanta F,L vs De Minaur,16.7%,24.1%,47.7%,20.4%,23.7%,34.2%,62.1%,28.9%,47.4%,52.6%,0.0%,0.0%,0.0%,20.0%,-118
2022 Rome R16,L vs Ruud,17.2%,32.8%,52.8%,23.8%,19.4%,36.1%,48.3%,31.1%,29.4%,68.4%,50.0%,14.3%,28.6%,58.3%,-79
2022 Miami R16,L vs Medvedev,10.9%,17.4%,47.5%,14.3%,12.1%,18.2%,48.3%,17.0%,35.7%,42.1%,50.0%,8.3%,16.7%,45.5%,-33
Career (37 matches),,20.1%,28.8%,51.8%,25.8%,24.2%,35.7%,55.6%,33.0%,46.8%,45.8%,56.4%,13.2%,16.9%,45.1%,-4
