Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,5,2,3,40.0%,1,0,1,0.0%,2023,2026,R32,5,0.89,3.5%,2.5%,60.8%,65.9%,48.5%,59.1%,36.5%,59.2%,39.5%
Roland Garros,3,Clay,7,4,3,57.1%,4,1,3,25.0%,2021,2025,R64,7,0.95,1.8%,1.9%,64.8%,62.2%,55.8%,59.9%,37.9%,58.3%,43.6%
Wimbledon,2,Grass,5,3,2,60.0%,1,1,0,100.0%,2022,2025,R32,5,1.09,3.7%,1.3%,65.9%,65.8%,54.6%,62.0%,41.3%,63.4%,34.4%
US Open,5,Hard,15,10,5,66.7%,9,4,5,44.4%,2018,2025,R16,15,1.03,4.5%,2.8%,62.2%,67.4%,48.9%,60.4%,40.9%,62.8%,43.6%
Miami Masters,4,Hard,8,4,4,50.0%,1,1,0,100.0%,2021,2026,R16,8,1.00,4.7%,0.6%,66.1%,62.6%,48.3%,57.8%,42.1%,46.2%,53.8%
Indian Wells Masters,4,Hard,11,7,4,63.6%,1,1,0,100.0%,2021,2026,R16,11,1.05,3.4%,2.6%,61.2%,70.0%,54.2%,63.9%,37.8%,57.4%,39.7%
Dallas,3,Hard,6,3,3,50.0%,6,2,4,33.3%,2022,2026,F,6,0.97,3.3%,1.3%,67.2%,71.7%,55.0%,66.2%,32.8%,66.7%,42.4%
Auckland,2,Hard,6,4,2,66.7%,3,2,1,66.7%,2023,2026,SF,6,0.98,3.5%,3.3%,61.8%,66.4%,51.7%,60.8%,38.5%,58.1%,34.0%
Paris Masters,2,Hard,3,2,1,66.7%,1,1,0,100.0%,2021,2025,W,3,1.03,4.3%,1.7%,62.3%,66.0%,44.7%,57.9%,43.2%,57.1%,43.8%
Basel,2,Hard,3,1,2,33.3%,1,1,0,100.0%,2022,2025,R16,3,0.98,7.0%,1.5%,68.3%,71.3%,52.4%,65.3%,33.9%,52.9%,46.2%
